product_id,total_records,anomaly_count,avg_anomaly_score,max_anomaly_score,anomaly_rate,risk_flag
PROD-0001,1036,2,0.12240434362934363,0.509,0.0019,0
PROD-0002,1036,39,0.1851262548262548,0.5845,0.0376,0
PROD-0003,1036,174,0.24119295366795368,0.6465,0.168,1
PROD-0004,1036,46,0.1569934362934363,0.475,0.0444,0
PROD-0005,1036,1,0.10423146718146718,0.2797,0.001,0
PROD-0006,1036,2,0.12593407335907336,0.4511,0.0019,0
PROD-0007,1036,76,0.19596969111969112,0.6585,0.0734,0
PROD-0008,1036,193,0.245442277992278,0.6322,0.1863,1
PROD-0009,1036,1,0.13592750965250966,0.2859,0.001,0
PROD-0010,1036,5,0.1100611003861004,0.3161,0.0048,0
PROD-0011,1036,4,0.1234849420849421,0.3638,0.0039,0
PROD-0012,1036,53,0.18740086872586872,0.55,0.0512,0
PROD-0013,1036,191,0.24318108108108108,0.5612,0.1844,1
PROD-0014,1036,5,0.13757451737451737,0.3791,0.0048,0
PROD-0015,1036,1,0.10035,0.3057,0.001,0
PROD-0016,1036,1,0.11438745173745173,0.3375,0.001,0
PROD-0017,1036,38,0.1903234555984556,0.5259,0.0367,0
PROD-0018,1036,151,0.23611264478764477,0.5333,0.1458,1
PROD-0019,1036,6,0.13851138996138998,0.3232,0.0058,0
PROD-0020,1036,3,0.10985019305019306,0.3451,0.0029,0
PROD-0021,1036,5,0.12984681467181466,0.5069,0.0048,0
PROD-0022,1036,55,0.184428861003861,0.5446,0.0531,0
PROD-0023,1036,161,0.23251245173745175,0.478,0.1554,1
PROD-0024,1036,36,0.1549246138996139,0.4963,0.0347,0
PROD-0025,1036,0,0.10812335907335907,0.3131,0.0,0
PROD-0026,1036,2,0.12624555984555985,0.3518,0.0019,0
PROD-0027,1036,52,0.1851123552123552,0.5448,0.0502,0
PROD-0028,1036,167,0.23959469111969112,0.6256,0.1612,1
PROD-0029,1036,5,0.1391057915057915,0.2832,0.0048,0
PROD-0030,1036,12,0.11025955598455599,0.3564,0.0116,0
PROD-0031,1036,0,0.12121052123552124,0.4679,0.0,0
PROD-0032,1036,38,0.18577944015444015,0.7096,0.0367,0
PROD-0033,1036,166,0.23764218146718147,0.6165,0.1602,1
PROD-0034,1036,1,0.13665028957528957,0.3109,0.001,0
PROD-0035,1036,2,0.10091235521235521,0.2388,0.0019,0
PROD-0036,1036,2,0.11718532818532819,0.3866,0.0019,0
PROD-0037,1036,46,0.18851476833976832,0.5018,0.0444,0
PROD-0038,1036,162,0.23744932432432433,0.5286,0.1564,1
PROD-0039,1036,6,0.14039343629343629,0.3476,0.0058,0
PROD-0040,1036,2,0.11254932432432432,0.3545,0.0019,0
PROD-0041,1036,3,0.12223629343629343,0.4986,0.0029,0
PROD-0042,1036,31,0.18501486486486485,0.6414,0.0299,0
PROD-0043,1036,155,0.23293542471042472,0.5257,0.1496,1
PROD-0044,1036,39,0.15650752895752895,0.4379,0.0376,0
PROD-0045,1036,0,0.10819642857142857,0.3009,0.0,0
PROD-0046,1036,5,0.12492084942084943,0.4291,0.0048,0
PROD-0047,1036,19,0.18164025096525097,0.4564,0.0183,0
PROD-0048,1036,169,0.23918909266409266,0.5345,0.1631,1
PROD-0049,1036,7,0.14207065637065638,0.2971,0.0068,0
PROD-0050,1036,2,0.10933368725868726,0.3126,0.0019,0
PROD-0051,1036,0,0.12358252895752896,0.3567,0.0,0
PROD-0052,1036,28,0.18630685328185329,0.5013,0.027,0
PROD-0053,1036,187,0.24149092664092664,0.556,0.1805,1
PROD-0054,1036,8,0.14122374517374517,0.2997,0.0077,0
PROD-0055,1036,0,0.1009630308880309,0.3005,0.0,0
PROD-0056,1036,1,0.12560791505791505,0.4156,0.001,0
PROD-0057,1036,40,0.18892712355212354,0.5629,0.0386,0
PROD-0058,1036,177,0.24089903474903476,0.6207,0.1708,1
PROD-0059,1036,4,0.13977326254826256,0.295,0.0039,0
PROD-0060,1036,4,0.10885810810810811,0.3477,0.0039,0
PROD-0061,1036,3,0.12550752895752895,0.4713,0.0029,0
PROD-0062,1036,34,0.17595279922779924,0.5358,0.0328,0
PROD-0063,1036,167,0.2353746138996139,0.5399,0.1612,1
PROD-0064,1036,42,0.1528364864864865,0.4597,0.0405,0
PROD-0065,1036,0,0.10855791505791505,0.3058,0.0,0
PROD-0066,1036,9,0.1257630308880309,0.4974,0.0087,0
PROD-0067,1036,86,0.19939565637065637,0.5391,0.083,0
PROD-0068,1036,162,0.2393507722007722,0.6046,0.1564,1
PROD-0069,1036,9,0.14418359073359074,0.3753,0.0087,0
PROD-0070,1036,7,0.11472577220077221,0.3322,0.0068,0
PROD-0071,1036,0,0.11733754826254826,0.3507,0.0,0
PROD-0072,1036,37,0.1846195945945946,0.494,0.0357,0
PROD-0073,1036,163,0.24124391891891891,0.588,0.1573,1
PROD-0074,1036,11,0.1441911196911197,0.3065,0.0106,0
PROD-0075,1036,1,0.10107963320463322,0.2671,0.001,0
PROD-0076,1036,0,0.1195180501930502,0.358,0.0,0
PROD-0077,1036,34,0.18908764478764478,0.4606,0.0328,0
PROD-0078,1036,165,0.2389426640926641,0.5454,0.1593,1
PROD-0079,1036,4,0.1377823359073359,0.2892,0.0039,0
PROD-0080,1036,4,0.11124488416988418,0.3532,0.0039,0
PROD-0081,1036,9,0.12037548262548263,0.3857,0.0087,0
PROD-0082,1036,45,0.18726052123552125,0.5202,0.0434,0
PROD-0083,1036,161,0.23585106177606177,0.5613,0.1554,1
PROD-0084,1036,30,0.15392249034749034,0.5278,0.029,0
PROD-0085,1036,0,0.1050296332046332,0.3195,0.0,0
PROD-0086,1036,2,0.12207789575289575,0.4136,0.0019,0
PROD-0087,1036,29,0.17734575289575288,0.4335,0.028,0
PROD-0088,1036,163,0.2353868725868726,0.5524,0.1573,1
PROD-0089,1036,15,0.1440769305019305,0.3439,0.0145,0
PROD-0090,1036,4,0.11456737451737452,0.3187,0.0039,0
PROD-0091,1036,0,0.12010810810810811,0.3289,0.0,0
PROD-0092,1036,40,0.18606911196911197,0.5007,0.0386,0
PROD-0093,1036,166,0.23793291505791506,0.5542,0.1602,1
PROD-0094,1036,7,0.1410857142857143,0.333,0.0068,0
PROD-0095,1036,0,0.10068996138996139,0.2467,0.0,0
PROD-0096,1036,1,0.11503416988416988,0.3093,0.001,0
PROD-0097,1036,37,0.1867584942084942,0.4986,0.0357,0
PROD-0098,1036,180,0.24438619691119692,0.6334,0.1737,1
PROD-0099,1036,2,0.14039594594594595,0.2876,0.0019,0
PROD-0100,1036,6,0.11175762548262548,0.3597,0.0058,0
