date,product_id,category,daily_sales,anomaly_label,anomaly_score,ecod_flag,iforest_flag,lof_flag
2022-03-01,PROD-0001,Electronics,40.78,0,0.0567,0,0,0
2022-03-02,PROD-0001,Electronics,24.51,0,0.043,0,0,0
2022-03-03,PROD-0001,Electronics,27.17,0,0.0838,0,0,0
2022-03-04,PROD-0001,Electronics,19.69,0,0.0639,0,0,0
2022-03-05,PROD-0001,Electronics,19.08,0,0.1825,0,0,1
2022-03-06,PROD-0001,Electronics,38.54,0,0.1152,0,0,0
2022-03-07,PROD-0001,Electronics,46.63,0,0.0866,0,0,0
2022-03-08,PROD-0001,Electronics,28.29,0,0.0569,0,0,0
2022-03-09,PROD-0001,Electronics,41.22,0,0.0988,0,0,0
2022-03-10,PROD-0001,Electronics,32.93,0,0.0757,0,0,0
2022-03-11,PROD-0001,Electronics,23.16,0,0.0838,0,0,0
2022-03-12,PROD-0001,Electronics,32.94,0,0.1497,0,0,0
2022-03-13,PROD-0001,Electronics,49.73,0,0.1505,0,0,0
2022-03-14,PROD-0001,Electronics,28.67,0,0.1104,0,0,0
2022-03-15,PROD-0001,Electronics,50.21,0,0.0812,0,0,0
2022-03-16,PROD-0001,Electronics,11.61,0,0.1063,0,0,0
2022-03-17,PROD-0001,Electronics,38.73,0,0.0893,0,0,0
2022-03-18,PROD-0001,Electronics,29.95,0,0.0971,0,0,0
2022-03-19,PROD-0001,Electronics,26.17,0,0.1539,0,0,0
2022-03-20,PROD-0001,Electronics,30.01,0,0.1612,0,0,0
2022-03-21,PROD-0001,Electronics,14.49,0,0.1276,0,0,0
2022-03-22,PROD-0001,Electronics,26.91,0,0.1045,0,0,0
2022-03-23,PROD-0001,Electronics,32.94,0,0.1483,0,0,1
2022-03-24,PROD-0001,Electronics,48.77,0,0.0921,0,0,0
2022-03-25,PROD-0001,Electronics,24.25,0,0.0899,0,0,0
2022-03-26,PROD-0001,Electronics,21.91,0,0.1398,0,0,0
2022-03-27,PROD-0001,Electronics,24.4,0,0.1447,0,0,0
2022-03-28,PROD-0001,Electronics,40.07,0,0.133,0,0,0
2022-03-29,PROD-0001,Electronics,32.64,0,0.0749,0,0,0
2022-03-30,PROD-0001,Electronics,24.17,0,0.0698,0,0,0
2022-03-31,PROD-0001,Electronics,34.83,0,0.105,0,0,0
2022-04-01,PROD-0001,Electronics,30.11,0,0.0891,0,0,0
2022-04-02,PROD-0001,Electronics,40.86,0,0.1306,0,0,0
2022-04-03,PROD-0001,Electronics,22.77,0,0.1524,0,0,0
2022-04-04,PROD-0001,Electronics,25.96,0,0.1126,0,0,0
2022-04-05,PROD-0001,Electronics,25.39,0,0.0886,0,0,0
2022-04-06,PROD-0001,Electronics,17.45,0,0.0815,0,0,0
2022-04-07,PROD-0001,Electronics,32.31,0,0.0458,0,0,0
2022-04-08,PROD-0001,Electronics,31.92,0,0.0618,0,0,0
2022-04-09,PROD-0001,Electronics,29.19,0,0.1589,0,0,1
2022-04-10,PROD-0001,Electronics,26.84,0,0.2196,0,0,1
2022-04-11,PROD-0001,Electronics,17.76,0,0.1834,0,0,1
2022-04-12,PROD-0001,Electronics,25.16,0,0.07,0,0,0
2022-04-13,PROD-0001,Electronics,25.86,0,0.185,0,0,1
2022-04-14,PROD-0001,Electronics,22.02,0,0.097,0,0,0
2022-04-15,PROD-0001,Electronics,27.56,0,0.275,0,0,1
2022-04-16,PROD-0001,Electronics,33.59,0,0.1503,0,0,1
2022-04-17,PROD-0001,Electronics,56.44,0,0.1053,0,0,0
2022-04-18,PROD-0001,Electronics,31.01,0,0.0744,0,0,0
2022-04-19,PROD-0001,Electronics,31.93,0,0.0339,0,0,0
2022-04-20,PROD-0001,Electronics,28.43,0,0.0551,0,0,0
2022-04-21,PROD-0001,Electronics,14.91,0,0.0371,0,0,0
2022-04-22,PROD-0001,Electronics,28.92,0,0.0425,0,0,0
2022-04-23,PROD-0001,Electronics,29.81,0,0.122,0,0,0
2022-04-24,PROD-0001,Electronics,69.14,0,0.1652,0,0,0
2022-04-25,PROD-0001,Electronics,27.3,0,0.0819,0,0,0
2022-04-26,PROD-0001,Electronics,32.45,0,0.0569,0,0,0
2022-04-27,PROD-0001,Electronics,28.85,0,0.066,0,0,0
2022-04-28,PROD-0001,Electronics,19.4,0,0.0853,0,0,0
2022-04-29,PROD-0001,Electronics,43.58,0,0.0584,0,0,0
2022-04-30,PROD-0001,Electronics,38.02,0,0.1114,0,0,0
2022-05-01,PROD-0001,Electronics,33.52,0,0.1558,0,0,0
2022-05-02,PROD-0001,Electronics,18.49,0,0.065,0,0,0
2022-05-03,PROD-0001,Electronics,41.53,0,0.0336,0,0,0
2022-05-04,PROD-0001,Electronics,15.56,0,0.0257,0,0,0
2022-05-05,PROD-0001,Electronics,31.22,0,0.032,0,0,0
2022-05-06,PROD-0001,Electronics,54.74,0,0.0767,0,0,0
2022-05-07,PROD-0001,Electronics,17.98,0,0.1027,0,0,0
2022-05-08,PROD-0001,Electronics,20.86,0,0.1187,0,0,0
2022-05-09,PROD-0001,Electronics,26.34,0,0.072,0,0,0
2022-05-10,PROD-0001,Electronics,21.33,0,0.0406,0,0,0
2022-05-11,PROD-0001,Electronics,14.79,0,0.0871,0,0,0
2022-05-12,PROD-0001,Electronics,26.07,0,0.0426,0,0,0
2022-05-13,PROD-0001,Electronics,17.55,0,0.1162,0,0,1
2022-05-14,PROD-0001,Electronics,30.05,0,0.284,0,0,1
2022-05-15,PROD-0001,Electronics,18.45,0,0.2267,0,0,1
2022-05-16,PROD-0001,Electronics,43.8,0,0.0734,0,0,0
2022-05-17,PROD-0001,Electronics,19.36,0,0.0853,0,0,0
2022-05-18,PROD-0001,Electronics,22.75,0,0.0559,0,0,0
2022-05-19,PROD-0001,Electronics,33.86,0,0.0214,0,0,0
2022-05-20,PROD-0001,Electronics,16.56,0,0.0472,0,0,0
2022-05-21,PROD-0001,Electronics,27.59,0,0.1,0,0,0
2022-05-22,PROD-0001,Electronics,40.27,0,0.1005,0,0,0
2022-05-23,PROD-0001,Electronics,14.52,0,0.0682,0,0,0
2022-05-24,PROD-0001,Electronics,27.19,0,0.0995,0,0,0
2022-05-25,PROD-0001,Electronics,27.92,0,0.029,0,0,0
2022-05-26,PROD-0001,Electronics,33.52,0,0.0347,0,0,0
2022-05-27,PROD-0001,Electronics,16.54,0,0.05,0,0,0
2022-05-28,PROD-0001,Electronics,16.07,0,0.0862,0,0,0
2022-05-29,PROD-0001,Electronics,30.62,0,0.1522,0,0,0
2022-05-30,PROD-0001,Electronics,28.31,0,0.1104,0,0,0
2022-05-31,PROD-0001,Electronics,27.85,0,0.0484,0,0,0
2022-06-01,PROD-0001,Electronics,23.05,0,0.0388,0,0,0
2022-06-02,PROD-0001,Electronics,16.09,0,0.0775,0,0,0
2022-06-03,PROD-0001,Electronics,22.15,0,0.0914,0,0,0
2022-06-04,PROD-0001,Electronics,22.63,0,0.1214,0,0,0
2022-06-05,PROD-0001,Electronics,15.91,0,0.1759,0,0,0
2022-06-06,PROD-0001,Electronics,39.25,0,0.0872,0,0,0
2022-06-07,PROD-0001,Electronics,24.12,0,0.051,0,0,0
2022-06-08,PROD-0001,Electronics,13.47,0,0.046,0,0,0
2022-06-09,PROD-0001,Electronics,25.72,0,0.0592,0,0,0
2022-06-10,PROD-0001,Electronics,14.53,0,0.0764,0,0,0
2022-06-11,PROD-0001,Electronics,26.92,0,0.0939,0,0,0
2022-06-12,PROD-0001,Electronics,30.67,0,0.1271,0,0,0
2022-06-13,PROD-0001,Electronics,15.34,0,0.1004,0,0,0
2022-06-14,PROD-0001,Electronics,28.65,0,0.0526,0,0,0
2022-06-15,PROD-0001,Electronics,23.63,0,0.1099,0,0,0
2022-06-16,PROD-0001,Electronics,27.27,0,0.041,0,0,0
2022-06-17,PROD-0001,Electronics,39.74,0,0.0601,0,0,0
2022-06-18,PROD-0001,Electronics,18.78,0,0.0979,0,0,0
2022-06-19,PROD-0001,Electronics,15.72,0,0.1217,0,0,0
2022-06-20,PROD-0001,Electronics,14.99,0,0.0895,0,0,0
2022-06-21,PROD-0001,Electronics,15.38,0,0.0817,0,0,0
2022-06-22,PROD-0001,Electronics,19.93,0,0.0721,0,0,0
2022-06-23,PROD-0001,Electronics,23.07,0,0.0459,0,0,0
2022-06-24,PROD-0001,Electronics,22.56,0,0.1248,0,0,1
2022-06-25,PROD-0001,Electronics,27.36,0,0.1395,0,0,0
2022-06-26,PROD-0001,Electronics,20.58,0,0.2279,0,0,1
2022-06-27,PROD-0001,Electronics,34.07,0,0.1668,0,0,1
2022-06-28,PROD-0001,Electronics,18.68,0,0.0718,0,0,0
2022-06-29,PROD-0001,Electronics,53.09,0,0.0453,0,0,0
2022-06-30,PROD-0001,Electronics,25.51,0,0.0367,0,0,0
2022-07-01,PROD-0001,Electronics,15.18,0,0.0484,0,0,0
2022-07-02,PROD-0001,Electronics,14.09,0,0.1107,0,0,0
2022-07-03,PROD-0001,Electronics,24.27,0,0.1185,0,0,0
2022-07-04,PROD-0001,Electronics,18.96,0,0.0825,0,0,0
2022-07-05,PROD-0001,Electronics,26.33,0,0.073,0,0,0
2022-07-06,PROD-0001,Electronics,24.2,0,0.1333,0,0,1
2022-07-07,PROD-0001,Electronics,20.0,0,0.0359,0,0,0
2022-07-08,PROD-0001,Electronics,15.25,0,0.1563,0,0,1
2022-07-09,PROD-0001,Electronics,12.07,0,0.1075,0,0,0
2022-07-10,PROD-0001,Electronics,17.55,0,0.1853,0,0,1
2022-07-11,PROD-0001,Electronics,27.7,0,0.0634,0,0,0
2022-07-12,PROD-0001,Electronics,22.12,0,0.0564,0,0,0
2022-07-13,PROD-0001,Electronics,13.27,0,0.054,0,0,0
2022-07-14,PROD-0001,Electronics,21.81,0,0.0478,0,0,0
2022-07-15,PROD-0001,Electronics,23.5,0,0.0563,0,0,0
2022-07-16,PROD-0001,Electronics,15.07,0,0.1256,0,0,0
2022-07-17,PROD-0001,Electronics,21.68,0,0.1603,0,0,0
