product_id,category,avg_daily_sales,annual_demand,lead_time_days,unit_cost,ordering_cost,holding_cost_per_unit,eoq,safety_stock_95,safety_stock_99,rop_95,rop_99,current_stock,current_order_qty,current_total_cost,optimal_total_cost,cost_savings,cost_savings_pct,recommendation
PROD-0001,Electronics,38.48,14045.199999999999,3,321.52,381.41,57.873599999999996,430.0,22.0,31.0,137.0,146.0,237,56.0,97280.81315714287,24900.9164,72379.9,74.4,Switch to EOQ policy
PROD-0002,Clothing,67.23,24538.95,20,339.97,92.16,50.9955,298.0,99.0,140.0,1444.0,1485.0,4721,79.0,30641.026452531645,15187.287996644296,15453.74,50.43,Switch to EOQ policy
PROD-0003,Food,120.48,43975.200000000004,22,120.17,342.45,21.6306,1180.0,186.0,263.0,2837.0,2914.0,10509,96.5,157098.67375569948,25524.178779661015,131574.49,83.75,Switch to EOQ policy
PROD-0004,Industrial,21.61,7887.65,10,274.75,441.19,52.2025,365.0,22.0,32.0,238.0,248.0,339,100.0,37409.648035,19061.07215,18348.58,49.05,Switch to EOQ policy
PROD-0005,Pharmaceuticals,28.98,10577.7,8,380.61,146.89,72.3159,207.0,27.0,38.0,259.0,270.0,620,68.5,25159.423268430655,14990.77465,10168.65,40.42,Switch to EOQ policy
PROD-0006,Electronics,37.93,13844.45,6,382.93,431.37,61.2688,442.0,31.0,43.0,259.0,271.0,599,73.5,83504.42291020408,27051.89890972851,56452.52,67.6,Switch to EOQ policy
PROD-0007,Clothing,62.76,22907.399999999998,28,303.84,487.9,69.8832,566.0,109.0,154.0,1866.0,1911.0,5430,83.5,136768.1680311377,39523.4481795053,97244.72,71.1,Switch to EOQ policy
PROD-0008,Food,116.6,42559.0,20,192.37,367.06,46.1688,823.0,172.0,243.0,2504.0,2575.0,8900,71.0,221663.02817464786,37979.87862405832,183683.15,82.87,Switch to EOQ policy
PROD-0009,Industrial,21.13,7712.45,10,27.68,439.92,7.750400000000001,936.0,22.0,31.0,233.0,242.0,259,35.0,97074.51782857142,7252.0387,89822.48,92.53,Switch to EOQ policy
PROD-0010,Pharmaceuticals,28.77,10501.05,17,193.16,144.28,40.5636,273.0,39.0,55.0,528.0,544.0,606,45.5,34221.536053846154,11086.717092307692,23134.82,67.6,Switch to EOQ policy
PROD-0011,Electronics,40.43,14756.95,24,137.15,160.16,31.544500000000003,387.0,65.0,92.0,1035.0,1062.0,2728,46.5,51560.78837768817,12211.026414082688,39349.76,76.32,Switch to EOQ policy
PROD-0012,Clothing,70.32,25666.8,11,233.82,429.28,58.455,614.0,77.0,108.0,851.0,882.0,812,53.0,209440.4519150943,35890.70764495114,173549.74,82.86,Switch to EOQ policy
PROD-0013,Food,123.69,45146.85,10,389.12,79.78,81.7152,297.0,129.0,182.0,1366.0,1419.0,1371,65.0,58068.293123076925,24262.032765656564,33806.26,58.22,Switch to EOQ policy
PROD-0014,Industrial,21.48,7840.2,21,457.0,228.03,114.25,177.0,32.0,46.0,483.0,497.0,344,52.0,37351.284730769235,20211.69452542373,17139.59,45.89,Switch to EOQ policy
PROD-0015,Pharmaceuticals,29.39,10727.35,17,457.7,385.25,77.809,326.0,40.0,56.0,540.0,556.0,255,58.5,72920.55577136752,25359.8964095092,47560.66,65.22,Switch to EOQ policy
PROD-0016,Electronics,40.6,14819.0,26,271.79,229.73,76.10120000000002,299.0,68.0,96.0,1124.0,1152.0,2192,79.5,45847.27263710692,22762.978463545154,23084.29,50.35,Switch to EOQ policy
PROD-0017,Clothing,64.59,23575.350000000002,7,113.56,71.2,18.1696,430.0,56.0,79.0,508.0,531.0,1166,88.0,19874.063763636364,7810.10334883721,12063.96,60.7,Switch to EOQ policy
PROD-0018,Food,116.43,42496.950000000004,23,59.28,223.15,14.2272,1155.0,184.0,260.0,2862.0,2938.0,4069,79.0,120602.40974810129,16426.765915584416,104175.64,86.38,Switch to EOQ policy
PROD-0019,Industrial,20.89,7624.85,17,299.96,437.35,89.98799999999999,272.0,28.0,40.0,383.0,395.0,465,57.0,61068.66058771931,24498.397954044118,36570.26,59.88,Switch to EOQ policy
PROD-0020,Pharmaceuticals,29.57,10793.05,26,10.68,395.87,2.7768,1754.0,50.0,70.0,819.0,839.0,2287,93.5,45826.55019679144,4871.196988540479,40955.35,89.37,Switch to EOQ policy
PROD-0021,Electronics,39.5,14417.5,12,173.39,479.22,38.145799999999994,602.0,45.0,64.0,519.0,538.0,1403,45.0,154395.04383333336,22958.88638139535,131436.16,85.13,Switch to EOQ policy
PROD-0022,Clothing,72.7,26535.5,11,438.55,97.88,100.8665,227.0,79.0,112.0,879.0,912.0,1671,47.5,57075.468638157894,22890.174798458153,34185.29,59.89,Switch to EOQ policy
PROD-0023,Food,109.38,39923.7,29,314.52,393.13,53.4684,766.0,194.0,274.0,3366.0,3446.0,9218,50.0,315240.79362,40968.21989060052,274272.57,87.0,Switch to EOQ policy
PROD-0024,Industrial,21.67,7909.55,27,271.99,269.87,65.2776,256.0,37.0,52.0,622.0,637.0,2184,25.0,86197.98034000001,16693.619747265628,69504.36,80.63,Switch to EOQ policy
PROD-0025,Pharmaceuticals,28.5,10402.5,14,60.37,445.1,9.6592,979.0,35.0,50.0,434.0,449.0,1300,55.5,83694.21847567568,9457.650054749745,74236.57,88.7,Switch to EOQ policy
PROD-0026,Electronics,35.38,12913.7,5,473.74,289.72,142.12199999999999,229.0,26.0,37.0,203.0,214.0,475,33.5,114062.8469029851,32610.77320960699,81452.07,71.41,Switch to EOQ policy
PROD-0027,Clothing,70.98,25907.7,24,67.25,287.45,11.432500000000001,1141.0,114.0,162.0,1818.0,1866.0,4794,95.0,78934.28969736841,13049.119746932516,65885.17,83.47,Switch to EOQ policy
PROD-0028,Food,127.42,46508.3,9,305.26,229.55,79.3676,519.0,126.0,178.0,1273.0,1325.0,4321,50.5,213409.58170198023,41166.18172793834,172243.4,80.71,Switch to EOQ policy
PROD-0029,Industrial,21.88,7986.2,14,337.49,161.56,74.2478,186.0,27.0,38.0,333.0,344.0,609,91.0,17556.851515384617,13841.875894623656,3714.98,21.16,Switch to EOQ policy
PROD-0030,Pharmaceuticals,29.33,10705.449999999999,3,36.69,149.1,6.6042,695.0,17.0,24.0,105.0,112.0,212,95.5,17029.304424345544,4591.625104316547,12437.68,73.04,Switch to EOQ policy
PROD-0031,Electronics,38.49,14048.85,23,40.14,64.14,6.4224000000000006,530.0,61.0,86.0,946.0,971.0,2449,54.0,16860.316633333336,3402.1119226415094,13458.2,79.82,Switch to EOQ policy
PROD-0032,Clothing,61.65,22502.25,19,168.56,146.41,42.14,395.0,88.0,125.0,1259.0,1296.0,4310,60.5,55730.18,16663.294107594935,39066.89,70.1,Switch to EOQ policy
PROD-0033,Food,120.31,43913.15,21,70.49,262.84,13.393099999999999,1313.0,181.0,256.0,2708.0,2783.0,8573,85.5,135568.25497821637,17583.22692532369,117985.03,87.03,Switch to EOQ policy
PROD-0034,Industrial,22.1,8066.500000000001,6,206.49,235.0,41.298,303.0,18.0,25.0,151.0,158.0,99,80.0,25347.263750000006,12512.843369636965,12834.42,50.63,Switch to EOQ policy
PROD-0035,Pharmaceuticals,28.57,10428.05,4,432.6,202.69,90.846,216.0,19.0,27.0,133.0,141.0,123,32.5,66511.98456153845,19596.83769675926,46915.15,70.54,Switch to EOQ policy
PROD-0036,Electronics,36.1,13176.5,10,431.53,113.08,99.25189999999999,173.0,38.0,53.0,399.0,414.0,569,49.0,32839.80665204082,17197.998136127164,15641.81,47.63,Switch to EOQ policy
PROD-0037,Clothing,67.45,24619.25,17,95.83,437.61,21.0826,1011.0,91.0,129.0,1238.0,1276.0,3579,34.5,312642.80506739137,21313.663788130565,291329.14,93.18,Switch to EOQ policy
PROD-0038,Food,117.8,42997.0,4,277.41,466.87,83.223,695.0,78.0,110.0,549.0,581.0,1174,26.5,758612.4930518868,57803.45924820144,700809.03,92.38,Switch to EOQ policy
