product_id,category,date,actual,forecast,error
PROD-0031,Electronics,2024-12-01,49.61,61.54,-11.93
PROD-0031,Electronics,2024-12-02,94.25,63.17,31.08
PROD-0031,Electronics,2024-12-03,64.26,64.8,-0.54
PROD-0031,Electronics,2024-12-04,44.66,66.43,-21.77
PROD-0031,Electronics,2024-12-05,54.28,68.06,-13.78
PROD-0031,Electronics,2024-12-06,39.33,69.69,-30.36
PROD-0031,Electronics,2024-12-07,38.74,71.32,-32.58
PROD-0031,Electronics,2024-12-08,26.64,72.95,-46.31
PROD-0031,Electronics,2024-12-09,31.25,74.58,-43.33
PROD-0031,Electronics,2024-12-10,84.04,76.21,7.83
PROD-0031,Electronics,2024-12-11,26.38,77.84,-51.46
PROD-0031,Electronics,2024-12-12,31.42,79.47,-48.05
PROD-0031,Electronics,2024-12-13,37.56,81.11,-43.55
PROD-0031,Electronics,2024-12-14,37.28,82.74,-45.46
PROD-0031,Electronics,2024-12-15,42.67,84.37,-41.7
PROD-0031,Electronics,2024-12-16,30.99,86.0,-55.01
PROD-0031,Electronics,2024-12-17,41.73,87.63,-45.9
PROD-0031,Electronics,2024-12-18,52.03,89.26,-37.23
PROD-0031,Electronics,2024-12-19,53.02,90.89,-37.87
PROD-0031,Electronics,2024-12-20,30.21,92.52,-62.31
PROD-0031,Electronics,2024-12-21,40.01,94.15,-54.14
PROD-0031,Electronics,2024-12-22,21.04,95.78,-74.74
PROD-0031,Electronics,2024-12-23,23.71,97.41,-73.7
PROD-0031,Electronics,2024-12-24,19.65,99.04,-79.39
PROD-0031,Electronics,2024-12-25,28.28,100.67,-72.39
PROD-0031,Electronics,2024-12-26,20.6,102.31,-81.71
PROD-0031,Electronics,2024-12-27,15.82,103.94,-88.12
PROD-0031,Electronics,2024-12-28,22.75,105.57,-82.82
PROD-0031,Electronics,2024-12-29,13.74,107.2,-93.46
PROD-0031,Electronics,2024-12-30,38.64,108.83,-70.19
PROD-0056,Electronics,2024-12-01,63.8,50.0,13.8
PROD-0056,Electronics,2024-12-02,54.66,50.62,4.04
PROD-0056,Electronics,2024-12-03,34.58,51.24,-16.66
PROD-0056,Electronics,2024-12-04,55.62,51.87,3.75
PROD-0056,Electronics,2024-12-05,60.97,52.49,8.48
PROD-0056,Electronics,2024-12-06,70.35,53.11,17.24
PROD-0056,Electronics,2024-12-07,35.41,53.73,-18.32
PROD-0056,Electronics,2024-12-08,37.03,54.36,-17.33
PROD-0056,Electronics,2024-12-09,56.43,54.98,1.45
PROD-0056,Electronics,2024-12-10,54.84,55.6,-0.76
PROD-0056,Electronics,2024-12-11,33.63,56.23,-22.6
PROD-0056,Electronics,2024-12-12,31.23,56.85,-25.62
PROD-0056,Electronics,2024-12-13,33.35,57.47,-24.12
PROD-0056,Electronics,2024-12-14,39.14,58.09,-18.95
PROD-0056,Electronics,2024-12-15,27.34,58.72,-31.38
PROD-0056,Electronics,2024-12-16,42.3,59.34,-17.04
PROD-0056,Electronics,2024-12-17,19.51,59.96,-40.45
PROD-0056,Electronics,2024-12-18,26.07,60.59,-34.52
PROD-0056,Electronics,2024-12-19,36.3,61.21,-24.91
PROD-0056,Electronics,2024-12-20,24.05,61.83,-37.78
PROD-0056,Electronics,2024-12-21,27.9,62.45,-34.55
PROD-0056,Electronics,2024-12-22,30.05,63.08,-33.03
PROD-0056,Electronics,2024-12-23,64.14,63.7,0.44
PROD-0056,Electronics,2024-12-24,18.76,64.32,-45.56
PROD-0056,Electronics,2024-12-25,31.2,64.94,-33.74
PROD-0056,Electronics,2024-12-26,19.44,65.57,-46.13
PROD-0056,Electronics,2024-12-27,18.57,66.19,-47.62
PROD-0056,Electronics,2024-12-28,19.17,66.81,-47.64
PROD-0056,Electronics,2024-12-29,23.82,67.44,-43.62
PROD-0056,Electronics,2024-12-30,40.11,68.06,-27.95
PROD-0067,Clothing,2024-12-01,74.55,75.41,-0.86
PROD-0067,Clothing,2024-12-02,106.57,75.04,31.53
PROD-0067,Clothing,2024-12-03,54.32,74.67,-20.35
PROD-0067,Clothing,2024-12-04,193.18,74.3,118.88
PROD-0067,Clothing,2024-12-05,52.2,73.93,-21.73
PROD-0067,Clothing,2024-12-06,73.82,73.56,0.26
PROD-0067,Clothing,2024-12-07,136.0,73.19,62.81
PROD-0067,Clothing,2024-12-08,138.92,72.82,66.1
PROD-0067,Clothing,2024-12-09,83.81,72.45,11.36
PROD-0067,Clothing,2024-12-10,74.76,72.08,2.68
PROD-0067,Clothing,2024-12-11,66.58,71.71,-5.13
PROD-0067,Clothing,2024-12-12,124.59,71.33,53.26
PROD-0067,Clothing,2024-12-13,100.22,70.96,29.26
PROD-0067,Clothing,2024-12-14,105.03,70.59,34.44
PROD-0067,Clothing,2024-12-15,135.16,70.22,64.94
PROD-0067,Clothing,2024-12-16,73.47,69.85,3.62
PROD-0067,Clothing,2024-12-17,46.62,69.48,-22.86
PROD-0067,Clothing,2024-12-18,66.53,69.11,-2.58
PROD-0067,Clothing,2024-12-19,56.01,68.74,-12.73
PROD-0067,Clothing,2024-12-20,48.29,68.37,-20.08
PROD-0067,Clothing,2024-12-21,42.22,68.0,-25.78
PROD-0067,Clothing,2024-12-22,66.11,67.63,-1.52
PROD-0067,Clothing,2024-12-23,67.18,67.26,-0.08
