product_id,product_name,category,warehouse_id,supplier_id,current_stock,safety_stock,reorder_point,lead_time_days,avg_daily_sales,days_of_stock,unit_cost,holding_cost_rate,ordering_cost,avg_demand_30d,demand_std,stockout_risk,overstock_ratio,is_overstock,is_understocked,annual_holding_cost
PROD-0001,Electronics Product 001,Electronics,WH-01,SUP-01,237,55,112,3,38.48,6.1589369553542035,321.52,0.18,381.41,38.48066666666667,2.96455007427014,0.0,0.7053571428571429,0,0,13716.043199999998
PROD-0002,Clothing Product 002,Clothing,WH-02,SUP-02,4721,31,158,20,67.23,70.216753262206,339.97,0.15,92.16,67.23466666666667,33.14924526900672,0.0,5.0,1,0,240749.7555
PROD-0003,Food Product 003,Food,WH-03,SUP-03,10509,23,193,22,120.48,87.22826763614631,120.17,0.18,342.45,120.477,19.580217665018605,0.0,5.0,1,0,227315.9754
PROD-0004,Industrial Product 004,Industrial,WH-04,SUP-04,339,77,200,10,21.61,15.687423838097148,274.75,0.19,441.19,21.609666666666666,3.651834503108648,0.0,0.565,0,0,17696.6475
PROD-0005,Pharmaceuticals Product 005,Pharmaceuticals,WH-05,SUP-05,620,74,137,8,28.98,21.393818796655204,380.61,0.19,146.89,28.98033333333333,2.5165632271393967,0.0,1.508515815085158,1,0,44835.858
PROD-0006,Electronics Product 006,Electronics,WH-01,SUP-06,599,31,147,6,37.93,15.790999920913189,382.93,0.16,431.37,37.933,9.501229494374066,0.0,1.3582766439909297,0,0,36700.0112
PROD-0007,Clothing Product 007,Clothing,WH-02,SUP-07,5430,25,167,28,62.76,86.5214550901066,303.84,0.23,487.9,62.759,21.145487979821187,0.0,5.0,1,0,379465.776
PROD-0008,Food Product 008,Food,WH-03,SUP-08,8900,57,142,20,116.6,76.32954925542955,192.37,0.24,367.06,116.59966666666666,13.483722815023668,0.0,5.0,1,0,410902.32
PROD-0009,Industrial Product 009,Industrial,WH-04,SUP-09,259,57,70,10,21.13,12.259774685222002,27.68,0.28,439.92,21.125999999999998,1.9946929588287468,0.0,1.2333333333333334,0,0,2007.3536000000001
PROD-0010,Pharmaceuticals Product 010,Pharmaceuticals,WH-05,SUP-10,606,66,91,17,28.77,21.061655738084756,193.16,0.21,144.28,28.77266666666667,2.4937913381225205,0.0,2.21978021978022,1,0,24581.541599999997
PROD-0011,Electronics Product 011,Electronics,WH-01,SUP-11,2728,29,93,24,40.43,67.47409123512874,137.15,0.23,160.16,40.43033333333334,11.95544566096896,0.0,5.0,1,0,86053.39600000001
PROD-0012,Clothing Product 012,Clothing,WH-02,SUP-12,812,91,106,11,70.32,11.547650650384922,233.82,0.25,429.28,70.31733333333334,10.806399338663052,0.0,2.5534591194968552,1,0,47465.46
PROD-0013,Food Product 013,Food,WH-03,SUP-13,1371,24,130,10,123.69,11.08395292621208,389.12,0.21,79.78,123.69233333333334,12.578656336750988,0.0,3.5153846153846153,1,0,112031.5392
PROD-0014,Industrial Product 014,Industrial,WH-04,SUP-14,344,60,104,21,21.48,16.01812904527605,457.0,0.25,228.03,21.475666666666665,1.9437592443508793,0.2372,1.1025641025641026,0,1,39302.0
PROD-0015,Pharmaceuticals Product 015,Pharmaceuticals,WH-05,SUP-15,255,38,117,17,29.39,8.675731766787257,457.7,0.17,385.25,29.392333333333337,2.086239496820865,0.4897,0.7264957264957265,0,1,19841.295000000002
PROD-0016,Electronics Product 016,Electronics,WH-01,SUP-16,2192,94,159,26,40.6,53.98881800940864,271.79,0.28,229.73,40.601,5.2670222905851665,0.0,4.59538784067086,1,0,166813.83040000004
PROD-0017,Clothing Product 017,Clothing,WH-02,SUP-17,1166,85,176,7,64.59,18.052702744547545,113.56,0.16,71.2,64.58866666666667,26.262242133998576,0.0,2.2083333333333335,1,0,21185.7536
PROD-0018,Food Product 018,Food,WH-03,SUP-18,4069,40,158,23,116.43,34.9467367872592,59.28,0.24,223.15,116.43433333333333,8.913621999101032,0.0,5.0,1,0,57890.4768
PROD-0019,Industrial Product 019,Industrial,WH-04,SUP-19,465,87,114,17,20.89,22.258388779857352,299.96,0.3,437.35,20.891000000000002,2.3594521155800425,0.0,1.3596491228070176,0,0,41844.42
PROD-0020,Pharmaceuticals Product 020,Pharmaceuticals,WH-05,SUP-20,2287,34,187,26,29.57,77.34887601181484,10.68,0.26,395.87,29.567333333333334,1.6324302654108498,0.0,4.076648841354723,1,0,6350.5416000000005
PROD-0021,Electronics Product 021,Electronics,WH-01,SUP-01,1403,75,90,12,39.5,35.51928708259141,173.39,0.22,479.22,39.49966666666667,8.187061802159583,0.0,5.0,1,0,53518.5574
PROD-0022,Clothing Product 022,Clothing,WH-02,SUP-02,1671,84,95,11,72.7,22.98560705753967,438.55,0.23,97.88,72.69766666666668,19.543110221836912,0.0,5.0,1,0,168547.92150000003
PROD-0023,Food Product 023,Food,WH-03,SUP-03,9218,84,100,29,109.38,84.27166596069516,314.52,0.17,393.13,109.38433333333334,12.221917081328225,0.0,5.0,1,0,492871.7112
PROD-0024,Industrial Product 024,Industrial,WH-04,SUP-04,2184,87,50,27,21.67,100.7906962434237,271.99,0.24,269.87,21.668666666666663,1.9088952177584655,0.0,5.0,1,0,142566.2784
