product_id,product_name,category,warehouse_id,supplier_id,current_stock,safety_stock,reorder_point,lead_time_days,avg_daily_sales,days_of_stock,unit_cost,holding_cost_rate,ordering_cost
PROD-0001,Electronics Product 001,Electronics,WH-01,SUP-01,237,55,112,3,38.48,6.2,321.52,0.18,381.41
PROD-0002,Clothing Product 002,Clothing,WH-02,SUP-02,4721,31,158,20,67.23,70.2,339.97,0.15,92.16
PROD-0003,Food Product 003,Food,WH-03,SUP-03,10509,23,193,22,120.48,87.2,120.17,0.18,342.45
PROD-0004,Industrial Product 004,Industrial,WH-04,SUP-04,339,77,200,10,21.61,15.7,274.75,0.19,441.19
PROD-0005,Pharmaceuticals Product 005,Pharmaceuticals,WH-05,SUP-05,620,74,137,8,28.98,21.4,380.61,0.19,146.89
PROD-0006,Electronics Product 006,Electronics,WH-01,SUP-06,599,31,147,6,37.93,15.8,382.93,0.16,431.37
PROD-0007,Clothing Product 007,Clothing,WH-02,SUP-07,5430,25,167,28,62.76,86.5,303.84,0.23,487.9
PROD-0008,Food Product 008,Food,WH-03,SUP-08,8900,57,142,20,116.6,76.3,192.37,0.24,367.06
PROD-0009,Industrial Product 009,Industrial,WH-04,SUP-09,259,57,70,10,21.13,12.3,27.68,0.28,439.92
PROD-0010,Pharmaceuticals Product 010,Pharmaceuticals,WH-05,SUP-10,606,66,91,17,28.77,21.1,193.16,0.21,144.28
PROD-0011,Electronics Product 011,Electronics,WH-01,SUP-11,2728,29,93,24,40.43,67.5,137.15,0.23,160.16
PROD-0012,Clothing Product 012,Clothing,WH-02,SUP-12,812,91,106,11,70.32,11.5,233.82,0.25,429.28
PROD-0013,Food Product 013,Food,WH-03,SUP-13,1371,24,130,10,123.69,11.1,389.12,0.21,79.78
PROD-0014,Industrial Product 014,Industrial,WH-04,SUP-14,344,60,104,21,21.48,16.0,457.0,0.25,228.03
PROD-0015,Pharmaceuticals Product 015,Pharmaceuticals,WH-05,SUP-15,255,38,117,17,29.39,8.7,457.7,0.17,385.25
PROD-0016,Electronics Product 016,Electronics,WH-01,SUP-16,2192,94,159,26,40.6,54.0,271.79,0.28,229.73
PROD-0017,Clothing Product 017,Clothing,WH-02,SUP-17,1166,85,176,7,64.59,18.1,113.56,0.16,71.2
PROD-0018,Food Product 018,Food,WH-03,SUP-18,4069,40,158,23,116.43,34.9,59.28,0.24,223.15
PROD-0019,Industrial Product 019,Industrial,WH-04,SUP-19,465,87,114,17,20.89,22.3,299.96,0.3,437.35
PROD-0020,Pharmaceuticals Product 020,Pharmaceuticals,WH-05,SUP-20,2287,34,187,26,29.57,77.3,10.68,0.26,395.87
PROD-0021,Electronics Product 021,Electronics,WH-01,SUP-01,1403,75,90,12,39.5,35.5,173.39,0.22,479.22
PROD-0022,Clothing Product 022,Clothing,WH-02,SUP-02,1671,84,95,11,72.7,23.0,438.55,0.23,97.88
PROD-0023,Food Product 023,Food,WH-03,SUP-03,9218,84,100,29,109.38,84.3,314.52,0.17,393.13
PROD-0024,Industrial Product 024,Industrial,WH-04,SUP-04,2184,87,50,27,21.67,100.8,271.99,0.24,269.87
PROD-0025,Pharmaceuticals Product 025,Pharmaceuticals,WH-05,SUP-05,1300,59,111,14,28.5,45.6,60.37,0.16,445.1
PROD-0026,Electronics Product 026,Electronics,WH-01,SUP-06,475,82,67,5,35.38,13.4,473.74,0.3,289.72
PROD-0027,Clothing Product 027,Clothing,WH-02,SUP-07,4794,80,190,24,70.98,67.5,67.25,0.17,287.45
PROD-0028,Food Product 028,Food,WH-03,SUP-08,4321,89,101,9,127.42,33.9,305.26,0.26,229.55
PROD-0029,Industrial Product 029,Industrial,WH-04,SUP-09,609,76,182,14,21.88,27.8,337.49,0.22,161.56
PROD-0030,Pharmaceuticals Product 030,Pharmaceuticals,WH-05,SUP-10,212,95,191,3,29.33,7.2,36.69,0.18,149.1
PROD-0031,Electronics Product 031,Electronics,WH-01,SUP-11,2449,27,108,23,38.49,63.6,40.14,0.16,64.14
PROD-0032,Clothing Product 032,Clothing,WH-02,SUP-12,4310,50,121,19,61.65,69.9,168.56,0.25,146.41
PROD-0033,Food Product 033,Food,WH-03,SUP-13,8573,93,171,21,120.31,71.3,70.49,0.19,262.84
PROD-0034,Industrial Product 034,Industrial,WH-04,SUP-14,99,32,160,6,22.1,4.5,206.49,0.2,235.0
PROD-0035,Pharmaceuticals Product 035,Pharmaceuticals,WH-05,SUP-15,123,32,65,4,28.57,4.3,432.6,0.21,202.69
PROD-0036,Electronics Product 036,Electronics,WH-01,SUP-16,569,44,98,10,36.1,15.8,431.53,0.23,113.08
PROD-0037,Clothing Product 037,Clothing,WH-02,SUP-17,3579,51,69,17,67.45,53.1,95.83,0.22,437.61
PROD-0038,Food Product 038,Food,WH-03,SUP-18,1174,89,53,4,117.8,10.0,277.41,0.3,466.87
PROD-0039,Industrial Product 039,Industrial,WH-04,SUP-19,265,72,174,8,21.93,12.1,425.1,0.22,439.09
PROD-0040,Pharmaceuticals Product 040,Pharmaceuticals,WH-05,SUP-20,218,68,50,8,29.14,7.5,451.71,0.3,169.34
PROD-0041,Electronics Product 041,Electronics,WH-01,SUP-01,1990,56,158,17,40.22,49.5,393.11,0.25,378.73
PROD-0042,Clothing Product 042,Clothing,WH-02,SUP-02,5154,82,89,24,72.81,70.8,392.76,0.18,147.97
PROD-0043,Food Product 043,Food,WH-03,SUP-03,10821,89,65,26,109.54,98.8,33.95,0.26,75.72
PROD-0044,Industrial Product 044,Industrial,WH-04,SUP-04,961,87,90,19,22.46,42.8,294.17,0.16,278.52
PROD-0045,Pharmaceuticals Product 045,Pharmaceuticals,WH-05,SUP-05,315,96,67,5,28.25,11.2,426.41,0.25,155.84
PROD-0046,Electronics Product 046,Electronics,WH-01,SUP-06,620,51,198,21,37.79,16.4,64.34,0.24,328.72
PROD-0047,Clothing Product 047,Clothing,WH-02,SUP-07,997,92,183,21,74.21,13.4,212.52,0.2,167.34
PROD-0048,Food Product 048,Food,WH-03,SUP-08,2977,50,117,13,113.81,26.2,336.51,0.21,352.26
PROD-0049,Industrial Product 049,Industrial,WH-04,SUP-09,463,29,52,13,21.88,21.2,153.5,0.22,499.3
PROD-0050,Pharmaceuticals Product 050,Pharmaceuticals,WH-05,SUP-10,205,88,104,5,29.8,6.9,498.07,0.23,109.61
PROD-0051,Electronics Product 051,Electronics,WH-01,SUP-11,165,51,144,5,40.28,4.1,177.76,0.19,247.18
PROD-0052,Clothing Product 052,Clothing,WH-02,SUP-12,3278,98,185,12,70.64,46.4,273.89,0.15,417.7
PROD-0053,Food Product 053,Food,WH-03,SUP-13,8909,33,84,24,108.36,82.2,153.19,0.19,450.37
PROD-0054,Industrial Product 054,Industrial,WH-04,SUP-14,385,54,122,7,21.89,17.6,372.5,0.24,372.93
PROD-0055,Pharmaceuticals Product 055,Pharmaceuticals,WH-05,SUP-15,2573,53,179,23,29.23,88.0,105.78,0.22,457.4
PROD-0056,Electronics Product 056,Electronics,WH-01,SUP-16,753,74,120,5,37.66,20.0,423.82,0.16,200.1
