product_id,product_name,category,unit_cost,unit_price,base_demand,demand_volatility,warehouse_id,supplier_id,lead_time_days,safety_stock,reorder_point,holding_cost_rate,ordering_cost
PROD-0001,Electronics Product 001,Electronics,321.52,450.13,25,0.35,WH-01,SUP-01,3,55,112,0.18,381.41
PROD-0002,Clothing Product 002,Clothing,339.97,526.95,40,0.5,WH-02,SUP-02,20,31,158,0.15,92.16
PROD-0003,Food Product 003,Food,120.17,150.21,80,0.2,WH-03,SUP-03,22,23,193,0.18,342.45
PROD-0004,Industrial Product 004,Industrial,274.75,357.18,15,0.15,WH-04,SUP-04,10,77,200,0.19,441.19
PROD-0005,Pharmaceuticals Product 005,Pharmaceuticals,380.61,608.98,20,0.1,WH-05,SUP-05,8,74,137,0.19,146.89
PROD-0006,Electronics Product 006,Electronics,382.93,536.1,25,0.35,WH-01,SUP-06,6,31,147,0.16,431.37
PROD-0007,Clothing Product 007,Clothing,303.84,470.95,40,0.5,WH-02,SUP-07,28,25,167,0.23,487.9
PROD-0008,Food Product 008,Food,192.37,240.46,80,0.2,WH-03,SUP-08,20,57,142,0.24,367.06
PROD-0009,Industrial Product 009,Industrial,27.68,35.98,15,0.15,WH-04,SUP-09,10,57,70,0.28,439.92
PROD-0010,Pharmaceuticals Product 010,Pharmaceuticals,193.16,309.06,20,0.1,WH-05,SUP-10,17,66,91,0.21,144.28
PROD-0011,Electronics Product 011,Electronics,137.15,192.01,25,0.35,WH-01,SUP-11,24,29,93,0.23,160.16
PROD-0012,Clothing Product 012,Clothing,233.82,362.42,40,0.5,WH-02,SUP-12,11,91,106,0.25,429.28
PROD-0013,Food Product 013,Food,389.12,486.4,80,0.2,WH-03,SUP-13,10,24,130,0.21,79.78
PROD-0014,Industrial Product 014,Industrial,457.0,594.1,15,0.15,WH-04,SUP-14,21,60,104,0.25,228.03
PROD-0015,Pharmaceuticals Product 015,Pharmaceuticals,457.7,732.32,20,0.1,WH-05,SUP-15,17,38,117,0.17,385.25
PROD-0016,Electronics Product 016,Electronics,271.79,380.51,25,0.35,WH-01,SUP-16,26,94,159,0.28,229.73
PROD-0017,Clothing Product 017,Clothing,113.56,176.02,40,0.5,WH-02,SUP-17,7,85,176,0.16,71.2
PROD-0018,Food Product 018,Food,59.28,74.1,80,0.2,WH-03,SUP-18,23,40,158,0.24,223.15
PROD-0019,Industrial Product 019,Industrial,299.96,389.95,15,0.15,WH-04,SUP-19,17,87,114,0.3,437.35
PROD-0020,Pharmaceuticals Product 020,Pharmaceuticals,10.68,17.09,20,0.1,WH-05,SUP-20,26,34,187,0.26,395.87
PROD-0021,Electronics Product 021,Electronics,173.39,242.75,25,0.35,WH-01,SUP-01,12,75,90,0.22,479.22
PROD-0022,Clothing Product 022,Clothing,438.55,679.75,40,0.5,WH-02,SUP-02,11,84,95,0.23,97.88
PROD-0023,Food Product 023,Food,314.52,393.15,80,0.2,WH-03,SUP-03,29,84,100,0.17,393.13
PROD-0024,Industrial Product 024,Industrial,271.99,353.59,15,0.15,WH-04,SUP-04,27,87,50,0.24,269.87
PROD-0025,Pharmaceuticals Product 025,Pharmaceuticals,60.37,96.59,20,0.1,WH-05,SUP-05,14,59,111,0.16,445.1
PROD-0026,Electronics Product 026,Electronics,473.74,663.24,25,0.35,WH-01,SUP-06,5,82,67,0.3,289.72
PROD-0027,Clothing Product 027,Clothing,67.25,104.24,40,0.5,WH-02,SUP-07,24,80,190,0.17,287.45
PROD-0028,Food Product 028,Food,305.26,381.57,80,0.2,WH-03,SUP-08,9,89,101,0.26,229.55
PROD-0029,Industrial Product 029,Industrial,337.49,438.74,15,0.15,WH-04,SUP-09,14,76,182,0.22,161.56
PROD-0030,Pharmaceuticals Product 030,Pharmaceuticals,36.69,58.7,20,0.1,WH-05,SUP-10,3,95,191,0.18,149.1
PROD-0031,Electronics Product 031,Electronics,40.14,56.2,25,0.35,WH-01,SUP-11,23,27,108,0.16,64.14
PROD-0032,Clothing Product 032,Clothing,168.56,261.27,40,0.5,WH-02,SUP-12,19,50,121,0.25,146.41
PROD-0033,Food Product 033,Food,70.49,88.11,80,0.2,WH-03,SUP-13,21,93,171,0.19,262.84
PROD-0034,Industrial Product 034,Industrial,206.49,268.44,15,0.15,WH-04,SUP-14,6,32,160,0.2,235.0
PROD-0035,Pharmaceuticals Product 035,Pharmaceuticals,432.6,692.16,20,0.1,WH-05,SUP-15,4,32,65,0.21,202.69
PROD-0036,Electronics Product 036,Electronics,431.53,604.14,25,0.35,WH-01,SUP-16,10,44,98,0.23,113.08
PROD-0037,Clothing Product 037,Clothing,95.83,148.54,40,0.5,WH-02,SUP-17,17,51,69,0.22,437.61
PROD-0038,Food Product 038,Food,277.41,346.76,80,0.2,WH-03,SUP-18,4,89,53,0.3,466.87
PROD-0039,Industrial Product 039,Industrial,425.1,552.63,15,0.15,WH-04,SUP-19,8,72,174,0.22,439.09
PROD-0040,Pharmaceuticals Product 040,Pharmaceuticals,451.71,722.74,20,0.1,WH-05,SUP-20,8,68,50,0.3,169.34
PROD-0041,Electronics Product 041,Electronics,393.11,550.35,25,0.35,WH-01,SUP-01,17,56,158,0.25,378.73
PROD-0042,Clothing Product 042,Clothing,392.76,608.78,40,0.5,WH-02,SUP-02,24,82,89,0.18,147.97
PROD-0043,Food Product 043,Food,33.95,42.44,80,0.2,WH-03,SUP-03,26,89,65,0.26,75.72
PROD-0044,Industrial Product 044,Industrial,294.17,382.42,15,0.15,WH-04,SUP-04,19,87,90,0.16,278.52
PROD-0045,Pharmaceuticals Product 045,Pharmaceuticals,426.41,682.26,20,0.1,WH-05,SUP-05,5,96,67,0.25,155.84
PROD-0046,Electronics Product 046,Electronics,64.34,90.08,25,0.35,WH-01,SUP-06,21,51,198,0.24,328.72
PROD-0047,Clothing Product 047,Clothing,212.52,329.41,40,0.5,WH-02,SUP-07,21,92,183,0.2,167.34
PROD-0048,Food Product 048,Food,336.51,420.64,80,0.2,WH-03,SUP-08,13,50,117,0.21,352.26
PROD-0049,Industrial Product 049,Industrial,153.5,199.55,15,0.15,WH-04,SUP-09,13,29,52,0.22,499.3
PROD-0050,Pharmaceuticals Product 050,Pharmaceuticals,498.07,796.91,20,0.1,WH-05,SUP-10,5,88,104,0.23,109.61
PROD-0051,Electronics Product 051,Electronics,177.76,248.86,25,0.35,WH-01,SUP-11,5,51,144,0.19,247.18
PROD-0052,Clothing Product 052,Clothing,273.89,424.53,40,0.5,WH-02,SUP-12,12,98,185,0.15,417.7
PROD-0053,Food Product 053,Food,153.19,191.49,80,0.2,WH-03,SUP-13,24,33,84,0.19,450.37
PROD-0054,Industrial Product 054,Industrial,372.5,484.25,15,0.15,WH-04,SUP-14,7,54,122,0.24,372.93
PROD-0055,Pharmaceuticals Product 055,Pharmaceuticals,105.78,169.25,20,0.1,WH-05,SUP-15,23,53,179,0.22,457.4
PROD-0056,Electronics Product 056,Electronics,423.82,593.35,25,0.35,WH-01,SUP-16,5,74,120,0.16,200.1
PROD-0057,Clothing Product 057,Clothing,69.76,108.13,40,0.5,WH-02,SUP-17,11,40,163,0.23,242.46
PROD-0058,Food Product 058,Food,9.79,12.24,80,0.2,WH-03,SUP-18,5,39,189,0.16,216.15
PROD-0059,Industrial Product 059,Industrial,278.5,362.05,15,0.15,WH-04,SUP-19,16,36,60,0.2,454.54
PROD-0060,Pharmaceuticals Product 060,Pharmaceuticals,399.08,638.53,20,0.1,WH-05,SUP-20,30,25,141,0.18,162.29
PROD-0061,Electronics Product 061,Electronics,55.88,78.23,25,0.35,WH-01,SUP-01,27,91,154,0.3,387.26
PROD-0062,Clothing Product 062,Clothing,463.25,718.04,40,0.5,WH-02,SUP-02,10,40,95,0.28,61.15
PROD-0063,Food Product 063,Food,369.6,462.0,80,0.2,WH-03,SUP-03,13,72,113,0.19,404.32
PROD-0064,Industrial Product 064,Industrial,58.51,76.06,15,0.15,WH-04,SUP-04,30,24,170,0.18,417.46
PROD-0065,Pharmaceuticals Product 065,Pharmaceuticals,232.85,372.56,20,0.1,WH-05,SUP-05,12,49,107,0.15,136.91
PROD-0066,Electronics Product 066,Electronics,167.49,234.49,25,0.35,WH-01,SUP-06,30,28,121,0.2,279.23
PROD-0067,Clothing Product 067,Clothing,341.36,529.11,40,0.5,WH-02,SUP-07,29,88,134,0.29,101.9
PROD-0068,Food Product 068,Food,485.35,606.69,80,0.2,WH-03,SUP-08,8,94,117,0.16,318.46
PROD-0069,Industrial Product 069,Industrial,176.12,228.96,15,0.15,WH-04,SUP-09,28,60,161,0.24,280.14
PROD-0070,Pharmaceuticals Product 070,Pharmaceuticals,195.67,313.07,20,0.1,WH-05,SUP-10,21,44,115,0.16,246.23
PROD-0071,Electronics Product 071,Electronics,262.36,367.3,25,0.35,WH-01,SUP-11,28,88,100,0.2,81.49
PROD-0072,Clothing Product 072,Clothing,333.8,517.39,40,0.5,WH-02,SUP-12,13,99,130,0.25,106.08
PROD-0073,Food Product 073,Food,450.52,563.15,80,0.2,WH-03,SUP-13,19,59,154,0.2,363.74
PROD-0074,Industrial Product 074,Industrial,279.43,363.26,15,0.15,WH-04,SUP-14,9,73,147,0.25,456.26
PROD-0075,Pharmaceuticals Product 075,Pharmaceuticals,309.68,495.49,20,0.1,WH-05,SUP-15,12,71,190,0.28,186.74
PROD-0076,Electronics Product 076,Electronics,109.04,152.66,25,0.35,WH-01,SUP-16,28,94,132,0.22,248.97
PROD-0077,Clothing Product 077,Clothing,110.78,171.71,40,0.5,WH-02,SUP-17,18,41,71,0.19,348.73
PROD-0078,Food Product 078,Food,311.53,389.41,80,0.2,WH-03,SUP-18,5,50,129,0.18,139.61
PROD-0079,Industrial Product 079,Industrial,17.09,22.22,15,0.15,WH-04,SUP-19,10,80,68,0.22,448.76
PROD-0080,Pharmaceuticals Product 080,Pharmaceuticals,289.96,463.94,20,0.1,WH-05,SUP-20,25,69,176,0.21,116.41
PROD-0081,Electronics Product 081,Electronics,345.37,483.52,25,0.35,WH-01,SUP-01,27,33,158,0.18,411.85
PROD-0082,Clothing Product 082,Clothing,349.48,541.69,40,0.5,WH-02,SUP-02,17,26,192,0.19,431.75
PROD-0083,Food Product 083,Food,230.95,288.69,80,0.2,WH-03,SUP-03,28,79,185,0.3,317.95
PROD-0084,Industrial Product 084,Industrial,475.27,617.85,15,0.15,WH-04,SUP-04,17,98,179,0.21,458.08
PROD-0085,Pharmaceuticals Product 085,Pharmaceuticals,225.73,361.17,20,0.1,WH-05,SUP-05,8,80,165,0.19,161.26
PROD-0086,Electronics Product 086,Electronics,320.64,448.9,25,0.35,WH-01,SUP-06,27,86,174,0.24,173.57
PROD-0087,Clothing Product 087,Clothing,43.35,67.19,40,0.5,WH-02,SUP-07,12,50,119,0.2,451.86
PROD-0088,Food Product 088,Food,44.89,56.11,80,0.2,WH-03,SUP-08,7,49,148,0.25,367.89
PROD-0089,Industrial Product 089,Industrial,36.79,47.83,15,0.15,WH-04,SUP-09,16,62,188,0.22,78.02
PROD-0090,Pharmaceuticals Product 090,Pharmaceuticals,417.28,667.65,20,0.1,WH-05,SUP-10,15,94,55,0.28,394.52
PROD-0091,Electronics Product 091,Electronics,193.29,270.61,25,0.35,WH-01,SUP-11,3,65,126,0.26,434.05
PROD-0092,Clothing Product 092,Clothing,476.95,739.27,40,0.5,WH-02,SUP-12,16,88,189,0.27,454.02
PROD-0093,Food Product 093,Food,246.67,308.34,80,0.2,WH-03,SUP-13,11,75,174,0.15,201.26
PROD-0094,Industrial Product 094,Industrial,341.18,443.53,15,0.15,WH-04,SUP-14,15,41,169,0.29,491.32
PROD-0095,Pharmaceuticals Product 095,Pharmaceuticals,269.39,431.02,20,0.1,WH-05,SUP-15,15,95,194,0.25,87.78
PROD-0096,Electronics Product 096,Electronics,217.16,304.02,25,0.35,WH-01,SUP-16,30,79,96,0.16,220.6
PROD-0097,Clothing Product 097,Clothing,109.77,170.14,40,0.5,WH-02,SUP-17,13,63,147,0.19,478.04
PROD-0098,Food Product 098,Food,213.67,267.09,80,0.2,WH-03,SUP-18,29,30,170,0.15,292.74
PROD-0099,Industrial Product 099,Industrial,499.95,649.94,15,0.15,WH-04,SUP-19,14,48,67,0.27,343.29
PROD-0100,Pharmaceuticals Product 100,Pharmaceuticals,378.35,605.36,20,0.1,WH-05,SUP-20,10,45,55,0.24,157.35
