shipment_id,product_id,supplier_id,warehouse_id,order_date,expected_date,actual_date,quantity,unit_cost,total_cost,delay_days,on_time,defective_units
SHP-000001,PROD-0001,SUP-01,WH-01,2022-01-01,2022-02-05,2022-02-05,131,321.52,42119.12,0,True,8
SHP-000002,PROD-0001,SUP-01,WH-01,2022-01-20,2022-02-24,2022-02-24,332,321.52,106744.64,0,True,21
SHP-000003,PROD-0001,SUP-01,WH-01,2022-02-08,2022-03-18,2022-03-18,480,321.52,154329.6,0,True,31
SHP-000004,PROD-0001,SUP-01,WH-01,2022-02-27,2022-04-02,2022-04-02,110,321.52,35367.2,0,True,7
SHP-000005,PROD-0001,SUP-01,WH-01,2022-03-18,2022-04-29,2022-04-29,305,321.52,98063.6,0,True,20
SHP-000006,PROD-0001,SUP-01,WH-01,2022-04-06,2022-05-06,2022-05-06,411,321.52,132144.72,0,True,27
SHP-000007,PROD-0001,SUP-01,WH-01,2022-04-25,2022-06-07,2022-06-07,297,321.52,95491.44,0,True,19
SHP-000008,PROD-0001,SUP-01,WH-01,2022-05-14,2022-06-23,2022-06-23,332,321.52,106744.64,0,True,21
SHP-000009,PROD-0001,SUP-01,WH-01,2022-06-02,2022-07-24,2022-07-24,356,321.52,114461.12,0,True,23
SHP-000010,PROD-0001,SUP-01,WH-01,2022-06-21,2022-08-10,2022-08-10,119,321.52,38260.88,0,True,7
SHP-000011,PROD-0001,SUP-01,WH-01,2022-07-10,2022-08-12,2022-08-12,445,321.52,143076.4,0,True,29
SHP-000012,PROD-0001,SUP-01,WH-01,2022-07-29,2022-09-07,2022-09-07,224,321.52,72020.48,0,True,14
SHP-000013,PROD-0001,SUP-01,WH-01,2022-08-17,2022-09-29,2022-09-29,470,321.52,151114.4,0,True,31
SHP-000014,PROD-0001,SUP-01,WH-01,2022-09-05,2022-10-11,2022-10-11,202,321.52,64947.04,0,True,13
SHP-000015,PROD-0001,SUP-01,WH-01,2022-09-24,2022-10-28,2022-10-28,387,321.52,124428.24,0,True,25
SHP-000016,PROD-0001,SUP-01,WH-01,2022-10-13,2022-11-24,2022-11-24,278,321.52,89382.56,0,True,18
SHP-000017,PROD-0001,SUP-01,WH-01,2022-11-01,2022-12-16,2022-12-16,220,321.52,70734.4,0,True,14
SHP-000018,PROD-0001,SUP-01,WH-01,2022-11-20,2022-12-31,2022-12-31,243,321.52,78129.36,0,True,16
SHP-000019,PROD-0001,SUP-01,WH-01,2022-12-09,2023-01-17,2023-01-25,495,321.52,159152.4,8,False,32
SHP-000020,PROD-0001,SUP-01,WH-01,2022-12-28,2023-02-05,2023-02-09,172,321.52,55301.44,4,False,11
SHP-000021,PROD-0001,SUP-01,WH-01,2023-01-16,2023-02-18,2023-02-18,488,321.52,156901.76,0,True,32
SHP-000022,PROD-0001,SUP-01,WH-01,2023-02-04,2023-03-21,2023-03-21,212,321.52,68162.24,0,True,14
SHP-000023,PROD-0001,SUP-01,WH-01,2023-02-23,2023-04-06,2023-04-06,465,321.52,149506.8,0,True,30
SHP-000024,PROD-0001,SUP-01,WH-01,2023-03-14,2023-04-24,2023-04-24,389,321.52,125071.28,0,True,25
SHP-000025,PROD-0001,SUP-01,WH-01,2023-04-02,2023-05-16,2023-05-16,127,321.52,40833.04,0,True,8
SHP-000026,PROD-0001,SUP-01,WH-01,2023-04-21,2023-06-19,2023-06-27,114,321.52,36653.28,8,False,7
SHP-000027,PROD-0001,SUP-01,WH-01,2023-05-10,2023-07-03,2023-07-12,219,321.52,70412.88,9,False,14
SHP-000028,PROD-0001,SUP-01,WH-01,2023-05-29,2023-07-12,2023-07-12,482,321.52,154972.64,0,True,31
SHP-000029,PROD-0001,SUP-01,WH-01,2023-06-17,2023-07-23,2023-07-23,283,321.52,90990.16,0,True,18
SHP-000030,PROD-0001,SUP-01,WH-01,2023-07-06,2023-08-22,2023-08-22,259,321.52,83273.68,0,True,17
SHP-000031,PROD-0001,SUP-01,WH-01,2023-07-25,2023-09-02,2023-09-02,129,321.52,41476.08,0,True,8
SHP-000032,PROD-0001,SUP-01,WH-01,2023-08-13,2023-09-23,2023-09-23,185,321.52,59481.2,0,True,12
