product_id,warehouse_id,current_stock,safety_stock,reorder_point
PROD-0001,WH-03,41439,6573,13991
PROD-0001,WH-02,42005,7238,12248
PROD-0002,WH-05,35040,5101,9127
PROD-0003,WH-02,41153,11246,21143
PROD-0004,WH-02,34942,6043,11301
PROD-0004,WH-05,43921,6737,16415
PROD-0005,WH-01,26582,6033,12271
PROD-0005,WH-05,45836,8821,15612
PROD-0005,WH-04,87096,20696,35589
PROD-0006,WH-04,82383,21024,36351
PROD-0006,WH-03,38588,6293,11124
PROD-0007,WH-01,59908,12786,28358
PROD-0008,WH-05,68115,12201,29459
PROD-0009,WH-05,40305,5156,11575
PROD-0009,WH-02,32207,8032,15489
PROD-0010,WH-02,28261,4065,10152
PROD-0010,WH-03,67734,8004,12383
PROD-0010,WH-04,40519,9136,20940
PROD-0011,WH-02,33832,5986,12545
PROD-0011,WH-03,65202,9798,20117
PROD-0012,WH-01,50688,6230,14857
PROD-0013,WH-05,74255,12477,22377
PROD-0013,WH-04,43289,4356,9679
PROD-0014,WH-05,46844,9374,15735
PROD-0014,WH-04,86368,23673,42574
PROD-0014,WH-02,35035,7770,12842
PROD-0015,WH-05,61818,15808,32095
PROD-0016,WH-03,73193,14471,23325
PROD-0017,WH-03,90273,24042,43456
PROD-0017,WH-01,26048,7178,17564
PROD-0018,WH-05,72264,19020,47131
PROD-0019,WH-02,38623,4854,9588
PROD-0019,WH-03,70193,10740,25479
PROD-0019,WH-05,55511,7902,16114
PROD-0020,WH-05,69983,16977,32239
PROD-0020,WH-03,77634,13561,32541
PROD-0020,WH-04,60037,8980,14044
PROD-0021,WH-02,33602,4906,8439
PROD-0022,WH-05,70958,7931,12431
PROD-0023,WH-01,57789,6597,11465
PROD-0024,WH-01,42973,8931,19856
PROD-0024,WH-02,41918,9022,15725
PROD-0024,WH-05,58215,10560,16836
PROD-0025,WH-04,58870,10874,21389
PROD-0025,WH-02,37583,8819,21907
PROD-0025,WH-05,37893,6840,12580
PROD-0026,WH-01,33600,4638,9037
PROD-0027,WH-02,22155,4265,10127
PROD-0027,WH-04,38563,10088,23766
PROD-0028,WH-01,25758,7723,18041
PROD-0029,WH-01,60431,16300,27160
PROD-0030,WH-04,61743,16851,40483
PROD-0030,WH-01,30273,3040,5746
PROD-0031,WH-01,35048,8387,18707
PROD-0031,WH-02,39118,9090,18058
PROD-0032,WH-04,51200,15039,31268
PROD-0033,WH-02,18690,3041,4713
PROD-0033,WH-04,61482,17453,35449
PROD-0033,WH-05,35639,7183,16889
PROD-0034,WH-01,47313,11120,19295
PROD-0035,WH-01,61034,13057,27144
PROD-0036,WH-03,74441,13685,28515
PROD-0037,WH-03,55943,8511,18466
PROD-0037,WH-05,49600,7594,12384
PROD-0037,WH-02,35220,6742,16376
PROD-0038,WH-03,37197,8340,17205
PROD-0039,WH-02,19038,2715,4792
PROD-0040,WH-01,58630,16173,30235
PROD-0040,WH-02,21427,5715,12593
PROD-0041,WH-02,44788,11708,23754
PROD-0041,WH-05,68789,14509,35282
PROD-0041,WH-03,42952,11838,20887
PROD-0042,WH-03,81952,10743,19141
PROD-0043,WH-02,37259,5243,11189
PROD-0044,WH-01,43765,6574,15831
PROD-0044,WH-03,39730,9013,20994
PROD-0045,WH-01,23895,6074,12980
PROD-0046,WH-03,46493,8757,19315
PROD-0046,WH-02,32828,4017,9821
PROD-0047,WH-03,91812,19199,44821
PROD-0047,WH-04,67518,8751,14241
PROD-0047,WH-05,49278,13787,31656
PROD-0048,WH-02,42386,6019,10530
PROD-0049,WH-03,58220,12341,29306
PROD-0050,WH-01,53428,15235,26459
PROD-0050,WH-02,21562,5605,9399
PROD-0050,WH-05,54923,7462,18091
PROD-0051,WH-01,55517,15145,34996
PROD-0051,WH-04,49492,12742,20490
PROD-0052,WH-04,83282,12033,27875
PROD-0053,WH-05,51525,13608,32268
PROD-0053,WH-02,23270,5398,10247
PROD-0054,WH-03,89396,26226,46659
PROD-0054,WH-02,35106,6316,15670
PROD-0055,WH-01,36866,3890,9246
PROD-0055,WH-02,24353,5263,13070
PROD-0055,WH-05,34629,7594,14016
PROD-0056,WH-03,63270,18781,30343
PROD-0056,WH-02,42402,5852,9037
PROD-0057,WH-03,36732,10472,21346
PROD-0057,WH-05,71587,17781,38595
PROD-0058,WH-01,40831,11831,28640
PROD-0058,WH-04,69839,16249,26398
PROD-0059,WH-02,31307,7306,13342
PROD-0059,WH-03,79192,16700,28253
PROD-0060,WH-01,60986,14359,34501
PROD-0060,WH-02,34372,5506,11275
PROD-0060,WH-04,34281,5395,10411
PROD-0061,WH-02,34121,5611,10895
PROD-0061,WH-05,69211,13996,32103
PROD-0061,WH-03,95225,23538,50815
PROD-0062,WH-02,31542,7147,13116
PROD-0062,WH-01,56158,14052,30532
PROD-0063,WH-05,76315,9880,15276
PROD-0064,WH-01,47956,12166,23789
PROD-0064,WH-04,84855,18255,40495
PROD-0065,WH-01,43328,6447,13900
PROD-0065,WH-05,32854,8219,18657
PROD-0066,WH-01,54574,7846,18078
PROD-0067,WH-01,44262,4870,8518
PROD-0067,WH-05,78581,15031,34592
PROD-0067,WH-04,72376,21537,45129
PROD-0068,WH-03,74030,18052,36190
PROD-0068,WH-04,81682,17118,41035
PROD-0069,WH-04,83448,15856,35704
PROD-0069,WH-02,40716,6329,14415
PROD-0069,WH-03,66213,9789,18989
PROD-0070,WH-01,35067,5412,9848
PROD-0070,WH-04,65100,8311,14388
PROD-0070,WH-03,78993,19059,29812
PROD-0071,WH-05,50506,9756,15241
PROD-0071,WH-04,81815,14554,33034
PROD-0072,WH-03,37821,10443,21676
PROD-0072,WH-01,42639,12303,22128
PROD-0072,WH-02,27994,7791,18197
PROD-0073,WH-03,82263,17211,36199
PROD-0073,WH-02,23203,3338,6461
PROD-0073,WH-05,34128,5707,12436
PROD-0074,WH-05,71845,19261,46602
PROD-0074,WH-03,96500,19958,48037
PROD-0075,WH-02,32926,3471,7437
PROD-0075,WH-01,29127,5602,8684
PROD-0075,WH-05,53122,7560,13810
PROD-0076,WH-01,34771,10091,19390
PROD-0076,WH-03,87599,16999,38231
PROD-0077,WH-05,86805,14756,31727
PROD-0078,WH-01,25349,2692,4703
PROD-0078,WH-03,87862,19704,34256
PROD-0078,WH-04,61298,7532,18436
PROD-0079,WH-05,70504,17864,29793
PROD-0079,WH-03,73700,18394,29697
PROD-0080,WH-02,44247,5381,8209
PROD-0081,WH-02,33249,9363,17558
PROD-0081,WH-03,94104,13143,27496
PROD-0082,WH-03,51454,12320,22195
PROD-0082,WH-05,69679,18193,41775
PROD-0082,WH-01,46161,4995,10153
PROD-0083,WH-05,52659,10594,19506
PROD-0083,WH-01,57391,15177,24367
PROD-0083,WH-03,95283,21640,50393
PROD-0084,WH-03,45968,6216,12567
PROD-0084,WH-02,35360,7891,19093
PROD-0084,WH-01,54424,10502,24424
PROD-0085,WH-03,53014,14331,33401
PROD-0085,WH-01,27186,7512,13099
PROD-0085,WH-05,57767,12828,24103
PROD-0086,WH-02,30944,5105,10146
PROD-0087,WH-01,55342,9301,22139
PROD-0087,WH-05,70597,10960,16551
PROD-0088,WH-03,41855,10213,20309
PROD-0089,WH-02,36495,8363,16649
PROD-0090,WH-04,39571,5710,12515
PROD-0091,WH-01,50042,8697,17859
PROD-0091,WH-03,57614,17245,35358
PROD-0092,WH-02,36842,5680,9947
PROD-0092,WH-03,43994,6093,9867
PROD-0093,WH-02,43855,10438,17656
PROD-0093,WH-03,81719,12690,26516
PROD-0093,WH-05,73800,16188,40154
PROD-0094,WH-04,51173,8810,15877
PROD-0095,WH-01,44902,6953,17203
PROD-0095,WH-05,62577,14986,24371
PROD-0095,WH-02,41525,8229,19525
PROD-0096,WH-05,47981,9391,17286
PROD-0096,WH-04,89386,13452,31769
PROD-0096,WH-02,20192,2283,4547
PROD-0097,WH-04,70198,7772,12817
PROD-0097,WH-03,70989,11412,28460
PROD-0097,WH-01,28444,7193,15150
PROD-0098,WH-05,44798,9161,17868
PROD-0098,WH-03,63656,17316,43117
PROD-0098,WH-04,51695,11590,24450
PROD-0099,WH-05,37937,9580,20362
PROD-0099,WH-03,52785,6135,10674
PROD-0099,WH-02,32576,4277,8162
PROD-0100,WH-04,68164,10787,18677
PROD-0100,WH-02,36958,8892,17375
PROD-0100,WH-01,50970,14515,33207
