product_id,product_name,category,unit_price
PROD-0001,Laptop A,Electronics,1878.96
PROD-0002,Laptop B,Electronics,4754.06
PROD-0003,Laptop C,Electronics,3662.65
PROD-0004,Laptop D,Electronics,2997.31
PROD-0005,Laptop E,Electronics,788.53
PROD-0006,Laptop F,Electronics,788.41
PROD-0007,Laptop G,Electronics,299.84
PROD-0008,Laptop H,Electronics,4332.22
PROD-0009,Laptop I,Electronics,3009.56
PROD-0010,Laptop J,Electronics,3543.28
PROD-0011,Laptop K,Electronics,112.72
PROD-0012,Laptop L,Electronics,4849.85
PROD-0013,Laptop M,Electronics,4163.89
PROD-0014,Laptop N,Electronics,1069.57
PROD-0015,Laptop O,Electronics,917.31
PROD-0016,Laptop P,Electronics,925.19
PROD-0017,Laptop Q,Electronics,1528.17
PROD-0018,Laptop R,Electronics,2628.53
PROD-0019,Laptop S,Electronics,2165.41
PROD-0020,Laptop T,Electronics,1463.23
PROD-0021,Smartphone A,Electronics,3063.15
PROD-0022,Smartphone B,Electronics,706.07
PROD-0023,Smartphone C,Electronics,1467.8
PROD-0024,Smartphone D,Electronics,1838.15
PROD-0025,Smartphone E,Electronics,2285.79
PROD-0026,Smartphone F,Electronics,3928.03
PROD-0027,Smartphone G,Electronics,1006.37
PROD-0028,Smartphone H,Electronics,2576.03
PROD-0029,Smartphone I,Electronics,2966.15
PROD-0030,Smartphone J,Electronics,241.79
PROD-0031,Smartphone K,Electronics,3041.65
PROD-0032,Smartphone L,Electronics,860.92
PROD-0033,Smartphone M,Electronics,334.61
PROD-0034,Smartphone N,Electronics,4744.94
PROD-0035,Smartphone O,Electronics,4828.5
PROD-0036,Smartphone P,Electronics,4043.9
PROD-0037,Smartphone Q,Electronics,1530.02
PROD-0038,Smartphone R,Electronics,497.38
PROD-0039,Smartphone S,Electronics,3424.32
PROD-0040,Smartphone T,Electronics,2206.36
PROD-0041,Tablet A,Electronics,618.97
PROD-0042,Tablet B,Electronics,2480.93
PROD-0043,Tablet C,Electronics,181.6
PROD-0044,Tablet D,Electronics,4547.51
PROD-0045,Tablet E,Electronics,1301.31
PROD-0046,Tablet F,Electronics,3315.99
PROD-0047,Tablet G,Electronics,1565.44
PROD-0048,Tablet H,Electronics,2605.14
PROD-0049,Tablet I,Electronics,2738.08
PROD-0050,Tablet J,Electronics,932.42
PROD-0051,Tablet K,Electronics,4848.23
PROD-0052,Tablet L,Electronics,3877.91
PROD-0053,Tablet M,Electronics,4698.1
PROD-0054,Tablet N,Electronics,4475.19
PROD-0055,Tablet O,Electronics,2993.52
PROD-0056,Tablet P,Electronics,4610.15
PROD-0057,Tablet Q,Electronics,451.58
PROD-0058,Tablet R,Electronics,987.95
PROD-0059,Tablet S,Electronics,235.68
PROD-0060,Tablet T,Electronics,1633.4
PROD-0061,Monitor A,Electronics,1949.5
PROD-0062,Monitor B,Electronics,1364.03
PROD-0063,Monitor C,Electronics,4145.4
PROD-0064,Monitor D,Electronics,1790.2
PROD-0065,Monitor E,Electronics,1411.86
PROD-0066,Monitor F,Electronics,2718.05
PROD-0067,Monitor G,Electronics,713.21
PROD-0068,Monitor H,Electronics,4012.96
PROD-0069,Monitor I,Electronics,382.01
PROD-0070,Monitor J,Electronics,4934.57
PROD-0071,Monitor K,Electronics,3863.5
PROD-0072,Monitor L,Electronics,1001.59
PROD-0073,Monitor M,Electronics,37.56
PROD-0074,Monitor N,Electronics,4079.15
PROD-0075,Monitor O,Electronics,3537.22
PROD-0076,Monitor P,Electronics,3647.75
PROD-0077,Monitor Q,Electronics,3858.64
PROD-0078,Monitor R,Electronics,379.48
PROD-0079,Monitor S,Electronics,1798.74
PROD-0080,Monitor T,Electronics,588.19
PROD-0081,Keyboard A,Electronics,4316.89
PROD-0082,Keyboard B,Electronics,3120.26
PROD-0083,Keyboard C,Electronics,1661.18
PROD-0084,Keyboard D,Electronics,327.16
PROD-0085,Keyboard E,Electronics,1561.8
PROD-0086,Keyboard F,Electronics,1632.66
PROD-0087,Keyboard G,Electronics,3650.73
PROD-0088,Keyboard H,Electronics,3191.41
PROD-0089,Keyboard I,Electronics,4437.19
PROD-0090,Keyboard J,Electronics,2366.35
PROD-0091,Keyboard K,Electronics,606.78
PROD-0092,Keyboard L,Electronics,3569.09
PROD-0093,Keyboard M,Electronics,3806.32
PROD-0094,Keyboard N,Electronics,2810.77
PROD-0095,Keyboard O,Electronics,3857.13
PROD-0096,Keyboard P,Electronics,2474.04
PROD-0097,Keyboard Q,Electronics,2618.44
PROD-0098,Keyboard R,Electronics,2143.43
PROD-0099,Keyboard S,Electronics,136.84
PROD-0100,Keyboard T,Electronics,548.38
