product_id,product_name,category,unit_price
PROD-0001,Laptop A,Electronics,1878.96
PROD-0002,Laptop B,Electronics,4754.06
PROD-0003,Laptop C,Electronics,3662.65
PROD-0004,Laptop D,Electronics,2997.31
PROD-0005,Laptop E,Electronics,788.53
PROD-0006,Laptop F,Electronics,788.41
PROD-0007,Laptop G,Electronics,299.84
PROD-0008,Laptop H,Electronics,4332.22
PROD-0009,Laptop I,Electronics,3009.56
PROD-0010,Laptop J,Electronics,3543.28
PROD-0011,Laptop K,Electronics,112.72
PROD-0012,Laptop L,Electronics,4849.85
PROD-0013,Laptop M,Electronics,4163.89
PROD-0014,Laptop N,Electronics,1069.57
PROD-0015,Laptop O,Electronics,917.31
PROD-0016,Laptop P,Electronics,925.19
PROD-0017,Laptop Q,Electronics,1528.17
PROD-0018,Laptop R,Electronics,2628.53
PROD-0019,Laptop S,Electronics,2165.41
PROD-0020,Laptop T,Electronics,1463.23
PROD-0021,Smartphone A,Electronics,3063.15
PROD-0022,Smartphone B,Electronics,706.07
PROD-0023,Smartphone C,Electronics,1467.8
PROD-0024,Smartphone D,Electronics,1838.15
PROD-0025,Smartphone E,Electronics,2285.79
PROD-0026,Smartphone F,Electronics,3928.03
PROD-0027,Smartphone G,Electronics,1006.37
PROD-0028,Smartphone H,Electronics,2576.03
PROD-0029,Smartphone I,Electronics,2966.15
PROD-0030,Smartphone J,Electronics,241.79
PROD-0031,Smartphone K,Electronics,3041.65
PROD-0032,Smartphone L,Electronics,860.92
PROD-0033,Smartphone M,Electronics,334.61
PROD-0034,Smartphone N,Electronics,4744.94
PROD-0035,Smartphone O,Electronics,4828.5
PROD-0036,Smartphone P,Electronics,4043.9
PROD-0037,Smartphone Q,Electronics,1530.02
PROD-0038,Smartphone R,Electronics,497.38
PROD-0039,Smartphone S,Electronics,3424.32
PROD-0040,Smartphone T,Electronics,2206.36
PROD-0041,Tablet A,Electronics,618.97
PROD-0042,Tablet B,Electronics,2480.93
PROD-0043,Tablet C,Electronics,181.6
PROD-0044,Tablet D,Electronics,4547.51
PROD-0045,Tablet E,Electronics,1301.31
PROD-0046,Tablet F,Electronics,3315.99
PROD-0047,Tablet G,Electronics,1565.44
PROD-0048,Tablet H,Electronics,2605.14
PROD-0049,Tablet I,Electronics,2738.08
PROD-0050,Tablet J,Electronics,932.42
