product_id,date,daily_sales,region
PROD-0068,2024-01-01,30,South
PROD-0038,2024-01-01,19,North
PROD-0091,2024-01-01,24,South
PROD-0054,2024-01-01,29,South
PROD-0006,2024-01-01,12,South
PROD-0090,2024-01-01,3,North
PROD-0062,2024-01-01,7,East
PROD-0015,2024-01-01,27,Central
PROD-0093,2024-01-01,13,West
PROD-0047,2024-01-01,5,West
PROD-0014,2024-01-01,31,East
PROD-0071,2024-01-01,31,West
PROD-0022,2024-01-01,12,Central
PROD-0049,2024-01-01,24,West
PROD-0028,2024-01-01,20,North
PROD-0063,2024-01-01,27,North
PROD-0020,2024-01-01,19,East
PROD-0048,2024-01-01,27,East
PROD-0088,2024-01-01,1,North
PROD-0070,2024-01-01,10,Central
PROD-0027,2024-01-01,26,North
PROD-0039,2024-01-01,34,East
PROD-0003,2024-01-01,25,North
PROD-0059,2024-01-01,34,South
PROD-0066,2024-01-01,21,Central
PROD-0064,2024-01-01,29,West
PROD-0056,2024-01-01,12,South
PROD-0072,2024-01-01,26,West
PROD-0005,2024-01-01,28,West
PROD-0030,2024-01-01,4,West
PROD-0057,2024-01-01,16,West
PROD-0092,2024-01-01,15,East
PROD-0084,2024-01-01,30,North
PROD-0018,2024-01-01,7,East
PROD-0083,2024-01-01,18,West
PROD-0009,2024-01-01,13,West
PROD-0037,2024-01-01,34,Central
PROD-0060,2024-01-01,2,West
PROD-0042,2024-01-01,4,East
PROD-0021,2024-01-01,11,East
PROD-0025,2024-01-01,5,West
PROD-0036,2024-01-01,23,North
PROD-0053,2024-01-01,30,Central
PROD-0011,2024-01-01,21,West
PROD-0045,2024-01-01,2,South
PROD-0089,2024-01-01,23,East
PROD-0007,2024-01-01,28,West
PROD-0041,2024-01-01,28,West
PROD-0096,2024-01-01,34,North
PROD-0095,2024-01-01,9,East
PROD-0100,2024-01-01,25,South
PROD-0055,2024-01-01,13,West
PROD-0073,2024-01-01,31,West
PROD-0008,2024-01-01,5,North
PROD-0026,2024-01-01,28,Central
PROD-0017,2024-01-01,11,South
PROD-0099,2024-01-01,14,Central
PROD-0086,2024-01-01,0,Central
PROD-0081,2024-01-01,18,North
PROD-0076,2024-01-01,10,North
PROD-0077,2024-01-01,21,North
PROD-0085,2024-01-01,29,South
PROD-0046,2024-01-01,22,East
PROD-0031,2024-01-01,23,East
PROD-0074,2024-01-01,18,West
PROD-0013,2024-01-01,21,South
PROD-0029,2024-01-01,21,Central
PROD-0044,2024-01-01,7,West
PROD-0075,2024-01-01,9,Central
PROD-0040,2024-01-01,23,South
PROD-0078,2024-01-01,3,East
PROD-0065,2024-01-01,35,West
PROD-0088,2024-01-02,23,East
PROD-0034,2024-01-02,0,East
PROD-0069,2024-01-02,32,East
PROD-0061,2024-01-02,26,Central
PROD-0073,2024-01-02,30,West
PROD-0098,2024-01-02,7,West
PROD-0084,2024-01-02,24,West
PROD-0030,2024-01-02,16,East
PROD-0048,2024-01-02,25,Central
PROD-0086,2024-01-02,17,West
PROD-0067,2024-01-02,14,South
PROD-0090,2024-01-02,31,South
PROD-0002,2024-01-02,25,West
PROD-0082,2024-01-02,10,West
PROD-0100,2024-01-02,2,East
PROD-0062,2024-01-02,33,West
PROD-0068,2024-01-02,32,West
PROD-0081,2024-01-02,17,South
PROD-0070,2024-01-02,22,North
PROD-0011,2024-01-02,6,Central
PROD-0024,2024-01-02,26,East
PROD-0064,2024-01-02,4,West
PROD-0097,2024-01-02,4,Central
PROD-0055,2024-01-02,21,North
PROD-0015,2024-01-02,32,South
PROD-0051,2024-01-02,18,South
PROD-0096,2024-01-02,3,West
PROD-0012,2024-01-02,11,East
PROD-0049,2024-01-02,28,West
PROD-0032,2024-01-02,29,North
PROD-0021,2024-01-02,15,Central
PROD-0056,2024-01-02,17,East
PROD-0033,2024-01-02,28,West
PROD-0060,2024-01-02,24,North
PROD-0041,2024-01-02,28,North
PROD-0094,2024-01-02,11,East
PROD-0078,2024-01-02,10,North
PROD-0001,2024-01-02,19,North
PROD-0047,2024-01-02,34,North
PROD-0071,2024-01-02,20,South
PROD-0043,2024-01-02,31,East
PROD-0020,2024-01-02,1,North
PROD-0028,2024-01-02,14,North
PROD-0077,2024-01-02,13,East
PROD-0059,2024-01-02,16,West
PROD-0003,2024-01-02,7,South
PROD-0063,2024-01-02,23,West
PROD-0054,2024-01-02,25,South
PROD-0026,2024-01-02,7,South
PROD-0010,2024-01-02,4,Central
PROD-0072,2024-01-02,17,Central
PROD-0091,2024-01-02,30,South
PROD-0044,2024-01-02,22,Central
PROD-0019,2024-01-02,7,South
PROD-0031,2024-01-02,21,East
PROD-0006,2024-01-02,21,East
PROD-0036,2024-01-02,30,North
PROD-0004,2024-01-02,21,East
PROD-0045,2024-01-02,30,Central
PROD-0025,2024-01-02,7,North
PROD-0079,2024-01-02,20,East
PROD-0080,2024-01-02,26,East
PROD-0052,2024-01-02,28,West
PROD-0022,2024-01-02,31,East
PROD-0065,2024-01-02,21,East
PROD-0008,2024-01-02,9,West
PROD-0062,2024-01-03,4,South
PROD-0015,2024-01-03,17,Central
PROD-0040,2024-01-03,16,Central
PROD-0078,2024-01-03,13,East
PROD-0094,2024-01-03,1,West
PROD-0039,2024-01-03,12,North
PROD-0093,2024-01-03,25,North
PROD-0012,2024-01-03,27,West
PROD-0085,2024-01-03,13,South
PROD-0043,2024-01-03,27,East
PROD-0037,2024-01-03,10,South
PROD-0097,2024-01-03,28,East
PROD-0044,2024-01-03,30,South
PROD-0068,2024-01-03,28,North
PROD-0100,2024-01-03,28,North
PROD-0052,2024-01-03,14,West
PROD-0007,2024-01-03,2,Central
PROD-0020,2024-01-03,16,South
PROD-0002,2024-01-03,4,East
PROD-0091,2024-01-03,14,West
PROD-0061,2024-01-03,8,South
PROD-0053,2024-01-03,6,Central
PROD-0004,2024-01-03,16,Central
PROD-0055,2024-01-03,23,East
PROD-0051,2024-01-03,7,East
PROD-0088,2024-01-03,21,East
PROD-0098,2024-01-03,33,East
PROD-0067,2024-01-03,5,West
PROD-0009,2024-01-03,3,South
PROD-0014,2024-01-03,34,South
PROD-0045,2024-01-03,30,West
PROD-0042,2024-01-03,25,East
PROD-0019,2024-01-03,4,West
PROD-0089,2024-01-03,0,East
PROD-0081,2024-01-03,24,North
PROD-0023,2024-01-03,21,East
PROD-0003,2024-01-03,30,East
PROD-0038,2024-01-03,26,West
PROD-0048,2024-01-03,28,East
PROD-0031,2024-01-03,4,South
PROD-0070,2024-01-03,21,North
PROD-0082,2024-01-03,28,Central
PROD-0087,2024-01-03,14,Central
PROD-0074,2024-01-03,10,North
PROD-0057,2024-01-03,28,West
PROD-0083,2024-01-03,31,East
PROD-0075,2024-01-03,29,West
PROD-0086,2024-01-03,5,South
PROD-0034,2024-01-03,2,North
PROD-0065,2024-01-03,14,West
PROD-0079,2024-01-03,5,North
PROD-0059,2024-01-03,11,Central
PROD-0084,2024-01-03,6,West
PROD-0022,2024-01-03,21,East
PROD-0071,2024-01-03,30,Central
PROD-0026,2024-01-03,18,Central
PROD-0021,2024-01-03,33,South
PROD-0011,2024-01-03,18,North
PROD-0049,2024-01-03,22,Central
PROD-0099,2024-01-03,18,East
PROD-0032,2024-01-03,2,East
PROD-0018,2024-01-03,9,West
PROD-0001,2024-01-03,20,South
PROD-0054,2024-01-03,16,North
PROD-0080,2024-01-03,30,East
PROD-0005,2024-01-03,24,East
PROD-0030,2024-01-03,2,West
PROD-0056,2024-01-03,12,South
PROD-0010,2024-01-03,5,West
PROD-0066,2024-01-03,4,South
PROD-0025,2024-01-03,29,Central
PROD-0047,2024-01-03,1,North
PROD-0069,2024-01-03,15,South
PROD-0006,2024-01-03,6,Central
PROD-0035,2024-01-03,9,North
PROD-0046,2024-01-03,34,Central
PROD-0013,2024-01-03,9,Central
PROD-0074,2024-01-04,10,East
PROD-0033,2024-01-04,35,South
PROD-0065,2024-01-04,27,North
PROD-0036,2024-01-04,12,South
PROD-0049,2024-01-04,6,Central
PROD-0037,2024-01-04,11,South
PROD-0002,2024-01-04,5,North
PROD-0024,2024-01-04,6,North
PROD-0007,2024-01-04,16,South
PROD-0094,2024-01-04,26,East
PROD-0039,2024-01-04,1,South
PROD-0020,2024-01-04,11,North
PROD-0100,2024-01-04,6,West
PROD-0062,2024-01-04,23,North
PROD-0081,2024-01-04,33,North
PROD-0044,2024-01-04,21,West
PROD-0058,2024-01-04,35,East
PROD-0088,2024-01-04,23,Central
PROD-0091,2024-01-04,4,West
PROD-0072,2024-01-04,23,South
PROD-0059,2024-01-04,28,North
PROD-0061,2024-01-04,32,Central
PROD-0067,2024-01-04,14,West
PROD-0041,2024-01-04,29,North
PROD-0080,2024-01-04,2,West
PROD-0015,2024-01-04,18,West
PROD-0060,2024-01-04,30,North
PROD-0048,2024-01-04,22,West
PROD-0009,2024-01-04,3,North
PROD-0089,2024-01-04,14,Central
PROD-0013,2024-01-04,7,North
PROD-0035,2024-01-04,6,East
PROD-0096,2024-01-04,28,Central
PROD-0070,2024-01-04,25,East
PROD-0026,2024-01-04,17,Central
