shipment_id,supplier_id,product_id,shipment_date,expected_delivery,actual_delivery,status
SHIP-000001,SUP-015,PROD-0009,2024-12-09,2025-01-05,,Pending
SHIP-000002,SUP-013,PROD-0077,2024-05-31,2024-06-16,2024-06-15,Delivered
SHIP-000003,SUP-007,PROD-0055,2024-10-08,2024-10-28,2024-10-28,Delivered
SHIP-000004,SUP-008,PROD-0078,2024-09-07,2024-09-30,2024-09-30,Delivered
SHIP-000005,SUP-020,PROD-0077,2024-05-29,2024-06-18,2024-06-16,Delivered
SHIP-000006,SUP-020,PROD-0073,2024-09-16,2024-10-06,2024-10-06,Delivered
SHIP-000007,SUP-015,PROD-0059,2024-07-03,2024-07-30,2024-07-31,Delivered
SHIP-000008,SUP-010,PROD-0021,2024-10-06,2024-10-27,2024-10-28,Delivered
SHIP-000009,SUP-004,PROD-0044,2024-11-18,2024-12-04,2024-12-09,Delayed
SHIP-000010,SUP-003,PROD-0037,2024-05-18,2024-06-07,2024-06-13,Delayed
SHIP-000011,SUP-005,PROD-0003,2024-07-23,2024-07-28,2024-07-30,Delivered
SHIP-000012,SUP-014,PROD-0010,2024-09-24,2024-10-01,2024-10-01,Delivered
SHIP-000013,SUP-001,PROD-0060,2024-07-03,2024-07-10,2024-07-18,Delayed
SHIP-000014,SUP-009,PROD-0024,2024-11-27,2024-12-13,2024-12-13,Delivered
SHIP-000015,SUP-017,PROD-0041,2024-10-05,2024-10-19,2024-10-20,Delivered
SHIP-000016,SUP-007,PROD-0036,2024-07-03,2024-07-23,2024-07-24,Delivered
SHIP-000017,SUP-006,PROD-0011,2024-08-25,2024-09-13,2024-09-16,Delayed
SHIP-000018,SUP-019,PROD-0041,2024-04-06,2024-04-10,2024-04-09,Delivered
SHIP-000019,SUP-013,PROD-0021,2024-02-18,2024-03-05,2024-03-03,Delivered
SHIP-000020,SUP-003,PROD-0014,2024-04-26,2024-05-16,2024-05-19,Delayed
SHIP-000021,SUP-001,PROD-0055,2024-05-24,2024-05-31,2024-05-30,Delivered
SHIP-000022,SUP-019,PROD-0061,2024-02-26,2024-03-01,2024-03-01,Delivered
SHIP-000023,SUP-001,PROD-0039,2024-12-10,2024-12-17,,Pending
SHIP-000024,SUP-019,PROD-0040,2024-01-25,2024-01-29,2024-01-30,Delivered
SHIP-000025,SUP-019,PROD-0093,2024-01-16,2024-01-20,2024-01-22,Delivered
SHIP-000026,SUP-020,PROD-0066,2024-12-12,2025-01-01,2024-12-31,Delivered
SHIP-000027,SUP-006,PROD-0021,2024-01-04,2024-01-23,2024-01-24,Delivered
SHIP-000028,SUP-011,PROD-0073,2024-03-26,2024-04-25,2024-05-04,Delayed
SHIP-000029,SUP-003,PROD-0047,2024-01-28,2024-02-17,2024-02-16,Delivered
SHIP-000030,SUP-019,PROD-0048,2024-02-09,2024-02-13,2024-02-20,Delayed
SHIP-000031,SUP-003,PROD-0038,2024-03-07,2024-03-27,2024-04-05,Delayed
SHIP-000032,SUP-016,PROD-0073,2024-04-26,2024-05-01,2024-05-02,Delivered
SHIP-000033,SUP-017,PROD-0022,2024-02-18,2024-03-03,2024-03-05,Delivered
SHIP-000034,SUP-003,PROD-0039,2024-03-20,2024-04-09,2024-04-07,Delivered
SHIP-000035,SUP-014,PROD-0018,2024-02-02,2024-02-09,2024-02-10,Delivered
SHIP-000036,SUP-010,PROD-0006,2024-03-02,2024-03-23,2024-03-25,Delivered
SHIP-000037,SUP-015,PROD-0030,2024-05-31,2024-06-27,2024-06-27,Delivered
SHIP-000038,SUP-016,PROD-0053,2024-01-24,2024-01-29,2024-01-27,Delivered
